0,1,2,3,4,5,6,7,8,9,10
19:45 - 20:00,FE 1,Private Family Conference,,,,,,,,
20:15 - 20:45,,Review plan for next day,,,,,,,,
21:00 - 21:15,,Daily planning conference,,,,,,,,
21:15 - 21:45,.,Meal (Dinner),,,,,,,,
21:30 - 22:00,.,Daily food ration prep,,,,,,,,
22:00 - 23:00,.,Pre-sleep,,,,,,,,
23:00 - 07:30,.,Sleep,,,,,,,,
Time Crew,,Activity/Reference to procedure and R/G,,,,,,,,
07:30 - 07:40 .,,Morning inspection of the station,,,,,,,,
07:40 - 07:50 CDR,,Post-sleep,,,,,,,,
"07:40 - 08:10 FE-1,FE-2",,Post-sleep,,,,,,,,
,,PHARMA. REFLOTRON 4 Analyzer work prep /Medical experiments,,,,,,,,
07:50 - 08:10 CDR,,,,,,,,,,
,,"procedure, pages 6-1 through 6-3",,,,,,,,
,,PHARMA. REFLOTRON 4 Check-Out/ Medical experiments,,,,,,,,
08:10 - 08:30 CDR,,,,,,,,,,
,,"procedure pages 6-4 - 6-6, par. 6.1.2",,,,,,,,
"08:10 - 09:00 FE-1,FE-2",,Breakfast,,,,,,,,
,,"Ingestion of medication/ Medical experiments procedure pages 6-7,",,,,,,,,
08:30 - 08:35 CDR,,,,,,,,,,
,,par. 6.2 steps 1-4,,,,,,,,
,,"PHARMA. Saliva samples. / Medical experiments procedure page 6-7,",,,,,,,,
08:45 - 08:50 CDR,,,,,,,,,,
,,par. 6.2 step 5,,,,,,,,
,,"PHARMA. Saliva samples. / Medical experiments procedure page 6-7,",,,,,,,,
08:55 - 09:00 CDR,,,,,,,,,,
,,par. 6.2 step 5,,,,,,,,
"09:00 - 09:25 FE-1, FE-2",,Work Set-Up,,,,,,,,
,,"PHARMA. Saliva samples. / Medical experiments procedure page 6-7,",,,,,,,,
09:05 - 09:10 CDR,,,,,,,,,,
,,par. 6.2 step 5,,,,,,,,
,,"PHARMA. Saliva samples. / Medical experiments procedure page 6-7,",,,,,,,,
09:20 - 09:25 CDR,,,,,,,,,,
,,par. 6.2 step 5,,,,,,,,
09:25 - 09:35  CDR,,Daily Panning Conference,,,,,,,,
"09:25 - 09:45 FE-1,FE-2",,Daily Panning Conference,,,,,,,,
,,"PHARMA. Saliva samples. / Medical experiments procedure page 6-7,",,,,,,,,
09:35 - 09:40 CDR,,,,,,,,,,
,,par. 6.2 step 5,,,,,,,,
09:40 - 10:30 CDR,,Breakfast,,,,,,,,
"09:45 - 11:15 FE-1, FE-2",,Packing of Equipment for 7A.1,,,,,,,,
,,"PHARMA. Saliva samples. / Medical experiments procedure page 6-7,",,,,,,,,
10:30 - 10:35 CDR,,,,,,,,,,
,,par. 6.2 step 5,,,,,,,,
,,"PHARMA. Blood Analysis. / Medical experiments procedure, para.",,,,,,,,
10:35 - 10:55 CDR,,,,,,,,,,
,,"6.3, pp. 6-8 through 6-14",,,,,,,,
10:55 - 11:55 CDR,,Disassembly of Microaccelerometers in SM/ r/g 1636,,,,,,,,
11:15 - 11:20  FE-2,,Activation of Air Humidity Removal System (CCAA) in PT1 mode,,,,,,,,
11:15 - 12:15 FE-1,,Exercise –TVIS,,,,,,,,
11:40 - 11:50  FE-2,,Activation of Air Humidity Removal System (CCAA) in PT2 mode,,,,,,,,
12:15 - 13:45 FE-1,,VTR-2 Prep for Return,,,,,,,,
GMT  08/11/01,,,,,,,,,,
DAY/NIGHT,,,,,,,,,,
I ORBIT,3569,3570,3571,3572,,3573,,,,3574
S DAILY ORBIT,11,12,13,14,,15,,,,16
KU,,,,,,,,,,
S TDRS,,,,,,,,,,
S-BD,,,,,,,,,,
M,,,,,,,,,,
C,,,,,,,,,,
C,,,,,,,,,,
,,ALL VHF,ALL VHF,ALL VHF,,ALL VHF,,,,ALL VHF
ISS GND,,,,,,,,,,
+ZLV -YVVISS ATTITUDE,,,,,,,,,,
ISS POWER,,,,,,,,,,
USACHEV,,,SLEEP,,POSTSLEEP,DPC ♣ СОЖ-MNT-CDR,,⊕,,
I,,,,,,,,,,
S VOSS,,,SLEEP,,POSTSLEEP,DPC,,,,
S,,,,,,,,,,
HELMS,,,SLEEP,,POSTSLEEP,DPC ♦,,,,EXERCISE TVIS
K,,,,,,,,,,
U,,,,,,,,,,
S,,,,,,,,,,
Y,,,,,,,,,,
S- DPC,,,,,,DPC,,,,
B,,,,,,,,,,
D,,,,,,,,,,
CPCG-H CRYSTAL GRWTH,,,,,,,,,,CPCG-H CR
EXPRESS RACK 1 OPS,,,,,,,,,,EXPRESS R
EXPRESS RACK 2 OPS,,,,,,,,,,EXPRESS R
MAMS NOMINAL OPS,,,,,,,,,,MAMS NOMI
PCG-EGN OPS,,,,,,,,,,PCG-EGN O
P SAMS AUTO OPS ICU/D1,,,,,,,,,,SAMS AUTO
L SAMS AUTO OPS RTS/D1,,,,,,,,,,SAMS AUTO
SAMS AUTO OPS RTS/D2,,,,,,,,,,SAMS AUTO
ARIS ICE TESTING,,,,,,,,,,ARIS ICE
MAMS COMMANDING 5,,,,,,,,,,MAMS COMMANDING 5
,,,,,,,,,,MAMS COMMANDI
MAMS STORED DATA D/L,,,,,,,,,,MAMS STORED D
R,,,,,,,,,,
S,,,,,,,,,,
,,,,,,♣СВО-СРВК-БРПК-INSPCT,,,,
,,,,,,♦PMA2-PRESS,,⊕СИМВОЛ-TST,,
NOTES:,,,,,,,,,,
,,,GMT223-1,,,ISS 2 BASIC,,,,
Time,Crew Activity/ Reference to procedure and R/G?,,,,,,,,,
07:30 - 07:40,. Morning inspection of the station,,,,,,,,,
07:40 - 08:10,. Post sleep,,,,,,,,,
08:10 - 09:00,. Breakfast,,,,,,,,,
09:00 - 09:30,. WORK SET-UP,,,,,,,,,
09:30 - 10:15,FE-1 Power off  Bonner Ball equipment,,,,,,,,,
10:10 - 10:25,"CDR, FE-2. Daily Planning Conference",,,,,,,,,
10:15 - 10:25,FE-1  Daily Planning Conference,,,,,,,,,
10:50 - 11:55,CDR Final packing of equipment to Progress per R/G,,,,,,,,,
10:30 - 11:50,FE-1 Dosmap. Clean-up operations,,,,,,,,,
10:30 - 12:00,FE-2  TVIS+RED Exercise,,,,,,,,,
11:45 - 12:10,FE-2 Checkout payload equipment in LAB.,,,,,,,,,
,Dosmap. Deactivation and stowage. Part  1. Transfer of KU-,,,,,,,,,
11:50 - 12:15,FE-1,,,,,,,,,
,band direct channel receiver,,,,,,,,,
,Telephone inventory management discussions per R/G 1670 S-,,,,,,,,,
12:10 - 12:30,"CDR,FE-2",,,,,,,,,
,band,,,,,,,,,
12:15 - 12:20,FE-1 Transfer KU-band direct channel receiver.,,,,,,,,,
12:25 - 12:40,FE-1 Free time. Prep for  7? .1,,,,,,,,,
12:40 - 13:55,FE-2 Assemble equipment for flight 7? .1,,,,,,,,,
,"CDR,",,,,,,,,,
12:40-13:40,CHIBIS training. ODNT  (? ? ? ? ) training /? ?,,,,,,,,,
,FE-1,,,,,,,,,
? ?=13.05,book.2/para.2.3 pp.2-13 to 2-20,,,,,,,,,
,(assist),,,,,,,,,
,Downlink TV-info on packing H/W to be removed on Progress,,,,,,,,,
13:50 - 13:55,CDR,,,,,,,,,
,(KU-band=13.55-14.20),,,,,,,,,
13:55 - 14:55,. LUNCH,,,,,,,,,
14:55 - 16:25,FE-2 Free time. Prep for 7? .1,,,,,,,,,
14:55 - 15:55,FE-1 Free time. Prep for 7? .1,,,,,,,,,
15:25 - 16:05,CDR Data collection for Vzaimodeistvie (Interaction) experiment,,,,,,,,,
15:55 - 17:25,FE-1  TVIS+RED exercise,,,,,,,,,
,"Install cable inserts 17? ? .35? 8235? -190,-200 of Simvol H/W",,,,,,,,,
16:05 - 16:50,CDR,,,,,,,,,
,per R/G? 1667,,,,,,,,,
16:50 - 17:35,CDR Free time. Prep for 7? .1,,,,,,,,,
16:25 - 16:55,FE-2 Maintenance on LSS (? ? ? ) per MCC go,,,,,,,,,
16:55 - 18:55,FE-2 Downlink files from SSC to medium (????????) for return,,,,,,,,,
17:25 - 18:15,FE-1 Data collection for Vzaimodeistvie (Interaction) experiment,,,,,,,,,
17:35 - 18:15,CDR Monitor habitat micro-environment (take into account results of,,,,,,,,,
GMT,Crew,Activity/ODF or R/G,,,,,,,,
07:30 - 07:40,.,Morning inspection,,,,,,,,
07:40 - 08:10,.,Post sleep,,,,,,,,
,,Hematocrit value identification and blood test using PCBA / ?/?,,,,,,,,
08:10 - 08:50,CDR,,,,,,,,,
,,? ? ?  ? ?  book 2 item 3.10.1 p?.3-65 through 3-68,,,,,,,,
08:10 - 08:30,,Prep and Hematocrit value identification and blood test using,,,,,,,,
,FE-1,,,,,,,,,
08:30 - 09:50,,PCBA / ?/?  ? ? ?  ? ?  book 2 item 3.10.1 p?.3-65 through 3-68,,,,,,,,
,,Hematocrit value identification and blood test using PCBA / ?/?,,,,,,,,
08:30 - 09:10,FE-2,,,,,,,,,
,,? ? ?  ? ?  book 2 item 3.10.1 p?.3-65 through 3-68,,,,,,,,
09:40 - 09:50,FE-2,TEPC power down and transfer,,,,,,,,
09:40 - 09:50,CDR,Camcorder battery charge/ ???  ? ? /p?.3-2 3.2,,,,,,,,
09:50 - 10:40,.,Breakfast,,,,,,,,
10:40 - 11:00,.,Work prep,,,,,,,,
11:00 - 11:15,.,Daily planning conference,,,,,,,,
11:20 - 12:35,.,7? .1 flight program and procedures review,,,,,,,,
12:35 - 13:15,CDR,"Data collection within the ""? ???? ?????????"" experiment",,,,,,,,
12:45 - 13:30,FE-1,TVIS Physical exercise,,,,,,,,
,,Replacement of hose ? -?  ? ? ? -? ? ? ?  and tank ? -?  according to,,,,,,,,
13:15 - 14:30,CDR,,,,,,,,,
,,Radiogram # 1624,,,,,,,,
13:30 - 14:30,FE-2,TVIS Physical exercise,,,,,,,,
14:00 - 14:45,FE-1,RED Physical exercise,,,,,,,,
14:30 - 15:30,CDR,TVIS Physical exercise according to the 3d day program,,,,,,,,
14:30 - 15:30,FE-2,Audit. Inventory ops in LAB.,,,,,,,,
15:30 - 16:30,.,LUNCH,,,,,,,,
16:30 - 16:45,FE-2,Check of the payload items in LAB,,,,,,,,
16:30 - 17:10,CDR,ICLSS system maintenance,,,,,,,,
,,Regular health check - ? ? ?  (specialist responsible for medical,,,,,,,,
16:30 - 17:15,FE-1,,,,,,,,,
,,provisions),,,,,,,,
16:45 - 17:15,FE-2,Regular health check – Examined cosmonaut (astronaut),,,,,,,,
,,Regular health check-,,,,,,,,
,"FE-1,",,,,,,,,,
17:15 - 17:45,,FE-1- Examined cosmonaut (astronaut),,,,,,,,
,FE-2,,,,,,,,,
,,FE2-specialist responsible for medical provisions.,,,,,,,,
17:20 - 17:25,CDR,Downlink of the greetings to Mr. Kizim L.D.+ Radiogram # 1606,,,,,,,,
,,TV downlink on the stowing of the items to be disposed in,,,,,,,,
17:25 - 17:35,CDR,,,,,,,,,
,,Progress / Radiogram # 1592,,,,,,,,
17:45 - 18:30,FE-2,TVIS Physical exercise,,,,,,,,
,,Regular health check - ? ? ?  (specialist responsible for medical,,,,,,,,
17:45 - 19:00,FE-1,,,,,,,,,
,,provisions),,,,,,,,
Time,Crew,Activity/ Reference to procedure and R/G?,,,,,,,,
09:30 - 09:40,,Morning inspection of the station,,,,,,,,
09:40 - 10:10,,Post sleep,,,,,,,,
10:10 - 10:20,FE-1,"? ? -8. Set-up / ? ?  book.2, para.3.8.1, step 7, pp.3-43",,,,,,,,
10:10 - 10:20,CDR,"Calf volume measurement. / ? ?  book.2/para.3.7, pp.3-37",,,,,,,,
,,"Body mass measurement / ? ?  book.2/, para.3.8.2, pp.3-45",,,,,,,,
10:20 - 10:35,FE-1,,,,,,,,,
,,through 3-47,,,,,,,,
10:20 - 10:30,FE-2,"Calf volume measurement. / ? ?  book.2/para.3.7, pp.3-37",,,,,,,,
10:35 - 10:45,FE-1,"Calf volume measurement. / ? ?  book.2/para.3.7, pp.3-37",,,,,,,,
,,"Body mass measurement / ? ?  book.2/para.3.8.2, pp.3-45",,,,,,,,
10:35 - 10:50,CDR,,,,,,,,,
,,through 3-47,,,,,,,,
,,"Body mass measurement / ? ?  book.2/para.3.8.2, pp.3-45",,,,,,,,
10:50 - 11:05,FE-2,,,,,,,,,
,,through 3-47,,,,,,,,
11:05 - 11:15,FE-1,"? ? -8. Clean up / ? ?  book.2/para.3.8.3, pp.3-48",,,,,,,,
11:15 - 11:30,,Daily planning conference,,,,,,,,
11:30 - 12:20,,Breakfast,,,,,,,,
12:20 - 12:30,,Work prep,,,,,,,,
12:30 - 13:00,FE-2,PMA2 PRESS,,,,,,,,
12:30 - 13:30,FE-1,7? .1 Prepare kits,,,,,,,,
12:35 - 13:15,CDR,LSS (? ? ? ) maintenance,,,,,,,,
13:00 - 14:00,FE-2,7? .1 Prepare kits,,,,,,,,
13:30 - 14:30,FE-1,TVIS exercise,,,,,,,,
14:00 - 14:05,FE-2,Reconfig IMV air duct,,,,,,,,
14:00 - 15:30,CDR,TVIS+RED – 1 exercise,,,,,,,,
14:05 - 15:30,FE-2,7? .1 Prepare kits,,,,,,,,
14:30 - 16:15,FE-1,,,,,,,,,
15:30 - 16:30,FE-2,TVIS exercise,,,,,,,,
16:15 - 16:30,FE-1,Conference with family (over S-Band 16.03-16.57),,,,,,,,
16:30 - 17:30,,LUNCH,,,,,,,,
17:30 - 17:45,FE-2,Check payload equipment in LAB,,,,,,,,
17:30 - 18:45,FE-1,7? .1 Prepare kits,,,,,,,,
17:50 - 18:05,FE-2,Conference with family (over S-Band 17.50-18.33),,,,,,,,
18:10 - 18:30,FE-2,Prep for delta file downlink,,,,,,,,
18:30 - 19:00,FE-2,7? .1 Prepare kits,,,,,,,,
Time,Crew,Activity/ Reference to procedure and r/g,,,,,,,,
09:40 - 09:50,.,Morning inspection,,,,,,,,
09:50 - 10:20,.,Post-sleep,,,,,,,,
10:20 - 11:05,CDR,Breakfast,,,,,,,,
10:20 - 11:10,"Pilot,FE-1",Breakfast,,,,,,,,
11:05 - 11:10,CDR,ISS-COMM CNFG 4A-?? ?,,,,,,,,
11:10 - 11:25,.,Daily planning conference,,,,,,,,
11:25 - 11:55,.,Prep for activities,,,,,,,,
11:55 - 12:10,.,PAO event,,,,,,,,
,,"Congratulations on ISS 1000 days on orbit, TV broadcast via KU-",,,,,,,,
12:10 - 12:30,.,,,,,,,,,
,,band,,,,,,,,
12:30 - 12:50,CDR,Daily US payload status check,,,,,,,,
12:50 - 17:10,.,Transfer returnable equipment/ r/g 1703,,,,,,,,
17:10 - 18:10,.,Lunch,,,,,,,,
18:10 - 21:55,.,Transfer returnable equipment,,,,,,,,
21:55 - 22:10,.,Private medical conference,,,,,,,,
22:10 - 22:30,CDR,Temporary (interim) ISS ingress by Shuttle crew,,,,,,,,
22:15 - 22:30,FE-1,Prep delta file for IMS,,,,,,,,
22:30 - 22:45,FE-1,Conference on cargo transfers,,,,,,,,
22:40 - 23:10,"CDR,Pilot",Review work plan,,,,,,,,
22:45 - 23:10,FE-1,Review work plan,,,,,,,,
23:10 - 23:15,.,RENAL – pill ingestions,,,,,,,,
23:15 - 23:30,.,Daily planning conference,,,,,,,,
23:30 - 00:00,.,Dinner,,,,,,,,
00:00 - 00:30,.,Daily food ration,,,,,,,,
00:30 - 01:10,.,Pre-sleep,,,,,,,,
01:05 - 01:10,CDR,ISS-COMM CNFG 4A-VFY,,,,,,,,
01:10 - 09:40,.,SLEEP,,,,,,,,
GMT,,Crew,,Activity / ODF or R/G Reference,,,,,,
06:00–06:10,,,,Morning inspection,,,,,,
06:10–06:40,,,,Personal hygiene (post-sleep),,,,,,
06:40–07:30,,,,BREAKFAST,,,,,,
07:30–07:45,,"FE-1, PLT",,Work prep,,,,,,
07:30–07:45,,CDR,,RENAL STONE: filing out metabolic log (food and fluid intake log for CDR),,,,,,
07:45–08:00,,,,Daily planning conference,,,,,,
08:00–08:15,,,,Work prep,,,,,,
08:15–10:15,,CDR,,Progress cargo ops with IMS support / RODF ??? ???,,,,,,
08:15–09:55,,FE-1,,Progress cargo ops with IMS support / RODF ??? ???,,,,,,
08:15–10:45,,PLT,,"????-1?  (?304) R&R / ? ??  ?????  ? ? , item 5.4, pg. 5-10, 5-11+ r/g 1775",,,,,,
09:55–10:55,,FE-1,,Physical exercise (CEVIS),,,,,,
10:15–11:15,,CDR,,Physical exercise (TVIS),,,,,,
10:55–11:55,,FE-1,,"Checking gas analyzer ? ?0501 using ???? and ? ?3 / RODF ? ? ??  ? ? ,item 10.8, pages 10-7 to 10-8",,,,,,
11:00–12:30,,PLT,,Physical exercise (TVIS+IRED),,,,,,
11:35–11:45,,CDR,,BSTC: photo ops 1,,,,,,
11:55–12:30,,FE-1,,Maintenance of ? ? ?,,,,,,
11:45–12:00,,CDR,,BSTC: photo ops 1,,,,,,
12:00–12:20,,CDR,,RENAL STONE: equipment setup,,,,,,
12:20–12:30,,CDR,,Setting up TV camera for TV conference,,,,,,
12:30–13:30,,,,LUNCH,,,,,,
13:30–14:00,,PLT,,7?.1 cargo transfer and stowage ops,,,,,,
13:30–14:15,,FE-1,,7?.1 cargo transfer and stowage ops,,,,,,
13:30–14:30,,CDR,,7?.1 cargo transfer and stowage ops,,,,,,
14:00–14:15,,PLT,,Private medical conference,,,,,,
14:15–16:00,,PLT,,7?.1 cargo transfer and stowage ops,,,,,,
14:15–14:30,,FE-1,,Private medical conference,,,,,,
14:30–15:40,,FE-1,,7?.1 cargo transfer and stowage ops,,,,,,
14:30–14:45,,CDR,,Private medical conference,,,,,,
14:45–16:00,,CDR,,7?.1 cargo transfer and stowage ops,,,,,,
15:40–16:00,,FE-1,,Delta file downlink prep,,,,,,
16:00–16:15,,,,Prep for PAO TV conference with the media,,,,,,
16:15–16:35,,,,PAO TV conference with the media,,,,,,
16:35–17:35,,PLT,,Physical exercise (cycle),,,,,,
16:35–18:05,,CDR,,Physical exercise (RED),,,,,,
17:10–18:40,,FE-1,,Physical exercise (TVIS+IRED),,,,,,
17:35–18:45,,PLT,,7?.1 cargo transfer and stowage ops,,,,,,
18:15–18:45,,CDR,,Daily status check of US payloads,,,,,,
18:40–19:05,,FE-1,,Report prep,,,,,,
FORM 24 FOR 08/12/01 (preliminary),,,,,,,,,,
09:40-09:50,"CDR, FE-1, FE-2",MORNING INSPECTION,,,,,,,,
09:50-10:20,"CDR, FE-1, FE-2",POST-SLEEP,,,,,,,,
10:20-11:10,"CDR, FE-1, FE-2",BREAKFAST,,,,,,,,
11:10-11:25,"CDR, FE-1, FE-2",DAILY PLANNING CONFERENCE MORNING,,,,,,,,
11:25-11:55,"CDR, FE-1, FE-2",ACTIVITY PREP,,,,,,,,
11:55-12:05,CDR,DOWNLINK DATA ON ? ? ?  (INTERNAL LIGHTING SYS) AND ? ???? (TOILET ENTRY COUNTER),,,,,,,,
11:55-12:25,FE-2,TRANSFER RACK ZSR ?114 IN LAB TO OTHER LOCATION,,,,,,,,
11:55-12:10,FE-1,CHECK OUT STATION PAYLOAD EQUIPMENT,,,,,,,,
12:50-13:30,CDR,? ? ?  MAINTENANCE,,,,,,,,
12:35-14:05,FE-2,RED EXERCISE,,,,,,,,
13:30-13:40,CDR,MODE ELEKTRON TO 16 ?,,,,,,,,
13:40-15:10,CDR,TVIS+IRED EXERCISE USING DAY 3 PROTOCOL,,,,,,,,
14:35-15:35,FE-2,LUNCH,,,,,,,,
14:45-16:15,FE-1,RED EXERCISE,,,,,,,,
15:10-16:10,CDR,LUNCH,,,,,,,,
15:35-15:50,FE-2,CHECK OUT PAYLOAD EQUIPMENT IN LAB,,,,,,,,
16:05-16:20,FE-2,REPLACE HARD DISK IN HRF RACK,,,,,,,,
16:15-17:15,FE-1,LUNCH,,,,,,,,
16:35-16:40,CDR,"PRE-DOCKING CONFIG OF COM SYSTEM(CONFIGURATION 1?) per R/G 1677 (configuration 1, primary option)",,,,,,,,
16:40-16:55,CDR,SHUTTLE/ISS COM CHECK,,,,,,,,
16:50-17:10,FE-2,PREP FOR DELTA FILE DOWNLINK,,,,,,,,
16:55-17:35,CDR,"AIR SAMPLING USING AK-1M SAMPLER PER PROCEDURE ? ? ??? ? ,PARA.11.2, PP.11-3 + R/G 1675",,,,,,,,
17:10-18:10,FE-2,TVIS EXERCISE,,,,,,,,
17:40-17:55,FE-1,WINDOW OPS,,,,,,,,
17:55-18:55,FE-1,VIDEO RECORDING OF SHUTTLE APPROACH,,,,,,,,
18:15-18:55,CDR,PMA2 – PRE-DOCKING RECONFIG,,,,,,,,
18:55-19:55,FE-1,TVIS EXERCISE,,,,,,,,
18:55-19:10,FE-2,SHUTTLE/ISS COM CHECK,,,,,,,,
19:15-19:20,FE-2,RECONFIG SHUTTLE VIDEOSYSTEM CHANNELS 1 AND 2,,,,,,,,
20:00-20:30,"CDR, FE-1, FE-2","OPENING OF HATCHES BETWEEN SHUTTLE AND ISS. FOR CDRAIR SAMPLING IN SHUTTLE USING AK-1M SAMPLER PERPROCEDURES ? ? ??  ? ? , PARA.11.2, PP.11-3 + R/G 1675",,,,,,,,
20:30-20:45,"CDR, FE-1,FE-2",CREWS GREET EACH OTHER,,,,,,,,
20:45-21:10,"?? , FE-1, FE-2",SAFETY BRIEFING,,,,,,,,
21:10-22:10,CDR,TVIS EXERCISE USING DAY 3 PROTOCOL,,,,,,,,
21:10-21:25,FE-1,POWER ON CBCS CENTERLINE CAMERA,,,,,,,,
22:05-22:20,FE-1,CONFERENCE ON TRANSFES,,,,,,,,
22:40-23:10,ALL,REVIEW ACTIVITY PLAN,,,,,,,,
23:10-23:25,ALL,DAILY PLANNING CONFERENCE EVENING,,,,,,,,
23:25-23:55,"CDR, FE1, FE-2",DINNER,,,,,,,,
23:55-00:10,"CDR, FE-1, FE-2",DAILY FOOD RATION PREP,,,,,,,,
00:10-01:10,"FE-1, FE-2",PRE-SLEEP,,,,,,,,
00:10-01:05,CDR,PRE-SLEEP,,,,,,,,
01:05-01:10,CDR,CHECK OUT CONFIG OF 7A COM H/W ON ISS,,,,,,,,
01:10-09:40,"CDR, FE-1,FE-2",SLEEP,,,,,,,,
GMT,Crew,Activity/ODF or R/G,,,,,,,,
07:30 - 07:40,,Morning inspection,,,,,,,,
07:40 - 08:10,,Post sleep,,,,,,,,
08:10 - 09:00,,Breakfast,,,,,,,,
09:00 - 09:30,,Work prep.,,,,,,,,
09:50 - 10:05,,Daily planning conference (morning),,,,,,,,
10:05 - 10:45,.,Prepare equipment to be returned on 7A.1,,,,,,,,
10:45 - 11:30,FE-1,Physical exercise (TVIS),,,,,,,,
11:30 - 13:00,CDR,Physical exercise (active rest),,,,,,,,
11:30 - 12:15,FE-1,Physical exercise (RED),,,,,,,,
11:45 - 12:15,FE-2,Conduct the psychological assessment plan (WinSCAT),,,,,,,,
12:15 - 13:15,FE-1,Prepare equipment to be returned on 7A.1,,,,,,,,
12:15 - 13:15,FE-2,Physical exercise (TVIS),,,,,,,,
13:15 - 14:15,,Lunch,,,,,,,,
14:15 - 14:45,,Conference on flight 7? .1,,,,,,,,
14:45 - 15:05,FE-2,Check the payload equipment in the LAB,,,,,,,,
14:50 - 15:05,"CDR, FE-2",Telephone discussions about inventory,,,,,,,,
15:05 - 15:35,FE-1,Take readings on TLD dosimeters,,,,,,,,
15:05 - 15:45,CDR,? ? ?maintenance,,,,,,,,
15:05 - 16:45,FE-2,Prepare equipment to be returned on 7A.1,,,,,,,,
15:35 - 15:45,FE-1,Transfer data on DOSMAP TLD to RS HRF computer for subsequent downlink,,,,,,,,
15:45 - 16:45,CDR,"Training in Chibis set. To=16:26(GMT) / ? ? , book 2, item 2.3, pg.2-13 - 2-20",,,,,,,,
15:45 - 16:45,FE-1,"Training in Chibis set. To=16:26(GMT) / ? ? , book 2, item 2.3, pg.2-13 - 2-20(assist)",,,,,,,,
16:00 - 16:15,FE-2,Check the payload equipment in the LAB,,,,,,,,
16:45 - 17:05,FE-2,Prepare delta file for downlink,,,,,,,,
17:15 - 17:45,,CHECS questionnaire,,,,,,,,
17:30 - 17:45,,Discussions with doctors (via S-band),,,,,,,,
17:45 - 18:00,FE-1,"Prepare TLD data for downlink, disconnect cables after data transfer",,,,,,,,
18:00 - 18:30,,Monthly maintenance for treadmill (TVIS),,,,,,,,
18:30 - 19:00,FE-1,Conduct the psychological assessment plan (WinSCAT),,,,,,,,
18:30 - 19:15,FE-2,Physical exercise (TVIS),,,,,,,,
18:45 - 18:55,CDR,Inspect separator ? ? ? ? -1,,,,,,,,
Time,,Crew,,Activity/ Reference to procedures and r/g,,,,,,
06:00-06:10,,,,MORNING INSPECTION,,,,,,
06:10-06:40,,,,POST-SLEEP,,,,,,
06:40-07:25,,,,BREAKFAST,,,,,,
07:25-07:40,,,,Daily planning conference morning,,,,,,
07:40-08:10,,CDR,,TEPC data transfer completion / INTEGRATED MEDICALGROUP: MED OPS: NOMINAL: EHS: Tissue EquivalentProportional Counter: TEPC - Data Transfer Operations,,,,,,
07:30-07:50,,"PILOT,FE-1",,PREP FOR ACTIVITIES,,,,,,
08:05-08:35,,,,"Preparation for Progress ?  #245 docking / SM GNC ODF / step2.2.1, page 2-8+r/g 1731",,,,,,
08:35-10:05,,,,"Progress ?  #245 docking to the SM InstrumentationCompartment / SM GNC ODF, step 2.2.2, pages 2-9, 2-10,TORU 03 ODF, step 3, page 15,23+r/g 1731",,,,,,
10:05-11:20,,FE-1,,Exercise-active rest,,,,,,
10:05-11:35,,PILOT,,Exercise-active rest,,,,,,
10:10-10:40,,CDR,,Defibrillator checkout / INTEGRATED MEDICAL GROUP: MEDOPS: NOMINAL: HMS: DEFIBRILLATOR CHECKOUT,,,,,,
10:45-11:25,,CDR,,? ? ?  maintenance on MCC Go,,,,,,
11:25-11:35,,CDR,,BSTC – photo document.2 setup / TVOPS - TV PhotoOperations: Nominals: QTCMA1 Camera Setup / (Perform Step1),,,,,,
11:35-12:35,,CDR,,BSTC – sample analysis / BSTC - Biotechnology SpecimenTemperature Controller: Nominals: BSTC Analyze Media,,,,,,
11:35-12:25,,"PILOT,FE-1",,"? ??-??? (Transfer Chamber-Progress) Vestibule Leak Check /Activation/Deactivation ODF, item 4.2.1, step 1, pages 4-5 to 4-6",,,,,,
12:25-12:35,,"PILOT,FE-1",,"??-? ?? and ???-?? Hatch Opening / Activation/DeactivationODF, item 4.2.1, steps 2, 3, page 4-6",,,,,,
12:35-13:05,,"CDR,FE-1",,"Quick disconnect clamp installation / Activation/DeactivationODF, item 4.2.2, pgs. 4-7 to 4-9",,,,,,
12:40-12:50,,PILOT,,"? ? 2 Filter Unit (? ? ) ? ?0501 Replacement / SM ACS ODF, item10.16.2, page 10-16",,,,,,
12:50-13:05,,PILOT,,Private medical conference,,,,,,
13:05-13:35,,PILOT,,"Progress #245 deactivation, air duct installation /Activation/Deactivation ODF, items 4.2.3, 4.2.4, page 4-10",,,,,,
13:05-13:20,,FE-1,,"Progress #245 air sampling using ??-1?  air sampler (prior to airduct installation) / SM ACS ODF, item 11.2, page 11-3 + r/g1746",,,,,,
13:05-13:15,,CDR,,BSTC – media exchange / BSTC - Biotechnology SpecimenTemperature Controller: Nominals: BSTC Exchange Media,,,,,,
13:15-14:15,,CDR,,LUNCH,,,,,,
13:35-14:35,,PILOT,,LUNCH,,,,,,
GMT Crew,Activity/ODF or R/G,,,,,,,,,
06:00-06:10 Everyone,Morning inspection,,,,,,,,,
"06:10-06:30 PILOT,FE-1",Post sleep,,,,,,,,,
06:10-06:40 CDR,Post sleep,,,,,,,,,
"06:30-07:05 PILOT,FE-1",Breakfast,,,,,,,,,
06:40-07:30 CDR,Breakfast,,,,,,,,,
07:05-07:30 PILOT,RENAL STONE – urine collection (PILOT),,,,,,,,,
07:05-07:30 FE-1,RENAL STONE – End of kidney function analysis for FE-1,,,,,,,,,
