0,1,2,3,4,5,6,7,8
18:45-19:00,Daily Planning Conference (S-band),,,,,,,
19:00-19:30,Evening Work Prep,,,,,,,
19:30-21:30,.,"Presleep (dinner, daily food prep, evening toilet)",,,,,,
21:30-06:00,.,SLEEP,,,,,,
Task List,CDR,ECON. Observations And Photography,,,,,,
URAGAN. Observations And Photography,,,,,,,,
Auxiliary Laptop Computer System Anti-Virus Update,,,,,,,,
GMT,,CREW,,ACTIVITY / ODF or r/g,,,,
06:00-06:05,,FE-1,,SLEEP Data Log Entry,,,,
06:00-06:10,,"CDR, FE-2",,Morning Inspection,,,,
06:05-06:10,,FE-1,,,,,,
06:10-06:40,,"FE-1, FE-2",,Post-sleep,,,,
06:10-06:20,,CDR,,SONOCARD. Experiment Termination / r/g 0176,,,,
06:20-06:50,,,Post-sleep,,,,,
06:40-07:30,,"FE-1, FE-2",,BREAKFAST,,,,
06:50-07:40,,CDR,,,,,,
07:30-07:40,,"FE-1, FE-2",,Prep for Work,,,,
07:40-07:55,,,,Daily Planning Conference (S-band),,,,
07:55-08:10,,,Crew conference with Astronaut Office (S-band),,,,,
08:10-08:15,,CDR,,Prep for Work,,,,
08:10-08:25,,FE-2,,,,,,
08:10-08:20,,FE-1,,,,,,
08:15-08:30,,CDR,,SONOCARD. Copy data to RSE-MED Laptop / r/g 0176,,,,
08:20-08:30,,FE-1,,EarthKAM Lens Change,,,,
08:25-08:40,,FE-2,,HITEN. Experiment setup.,,,,
08:30-08:40,,FE-1,,CWC Audit,,,,
08:30-08:35,,CDR,,Prep for Work,,,,
08:35-11:25,,,Stowing Hardware for Disposal In Progress 366 (Using IMS),,,,,
08:40-08:50,,"FE-1, FE-2",,SCREEN. Equipment Setup for Experiment,,,,
08:50-10:10,,FE-2,,HITEN. Execute,,,,
08:50-11:05,,FE-1,,Stowing Hardware for Disposal In Progress 366 (Using IMS),,,,
10:10-10:15,,FE-2,,HITEN Closeout Ops,,,,
10:15-10:30,,,Spiral Top Set Up,,,,,
10:30-11:10,,,Spiral Top. Experiment,,,,,
11:05-11:20,,FE-1,,Food Frequency Questionnaire,,,,
11:10-11:20,,FE-2,,Spiral Top Closeout Ops,,,,
11:20-11:40,,"FE-1, FE-2",,SCREEN Closeout Ops,,,,
11:25-11:40,,CDR,,IMS Tagup (S-band),,,,
11:40-13:10,,FE-1,,Crew Steps for EC Incubator Lock Test,,,,
11:40-13:10,,CDR,,"Physical Exercise (TVIS), day 3",,,,
11:40-13:10,,FE-2,,Physical Exercise (ARED),,,,
13:10-14:10,,,,LUNCH,,,,
14:10-15:25,,FE-1,,Stowing Hardware for Disposal in Progress 366 (Using IMS),,,,
14:10-16:30,,CDR,,,,,,
14:10-14:25,,FE-2,,Food Frequency Questionnaire,,,,
14:25-14:45,,,IWIS ACL Installation,,,,,
GMT,,CREW,,ACTIVITY,,,,
,,"FE-1, FE-2,",,,,,,
,06:00-06:10,,,Morning Inspection,,,,
,,,VC SFP,,,,,
,,,,,,,,
06:00-06:10,,CDR-19,,SONOCARD. Experiment Termination,,,,
06:00-06:05,,"CDR, FE-1-19",,Integrate Immune: Liquid Saliva Sample Collection,,,,
06:05-06:10,,,Morning Inspection,,,,,
,06:10-06:40,,,,Post-sleep,,,
,06:40-07:30,,,,BREAKFAST,,,
,07:30-07:50,,,,Prep for Work,,,
07:50-08:05,,"E18, E19",,Daily Planning Conference (S-band),,,,
08:05-08:15,,"FE-1, CDR-19",,Prep for Work,,,,
08:05-08:20,,"CDR, FE-2,FE-1-19",,ISS Crew / JAXA management conference (S-band),,,,
08:15-08:30,,CDR-19,,SONOCARD. Copy Data to RSE-MED Laptop,,,,
08:20-08:30,,"CDR, FE-2,FE-1-19",,Prep for Work,,,,
08:30-08:40,,CDR,,Fluids and Combustion Facility (FCF) Alignment Guide Installation,,,,
08:30-08:35,,FE-2,,Set up video equipment to film ARED exercise,,,,
08:30-11:20,,CDR-19,,PILOT-M. Run the experiment using Neurolab (CDR). Tagup with specialists(VHF + S-band),,,,
08:40-09:25,,"CDR, FE-1-19",,EMU cooling loop filtration to eliminate biomass and particulate matter,,,,
,09:00-09:10,,VC SFP,,Tagup with Consultant Team (VHF1),,,
09:00-09:20,,FE-1 assists,,PILOT-M. Run the experiment using Neurolab (CDR). Tagup with specialists(VHF + S-band),,,,
09:10-09:15,,FE-2,,HAM Radio Setup,,,,
09:15-09:25,,,HAM Radio Session,,,,,
09:20-10:00,,FE-1,,"БРП-М water sampling to drink bags (Use 2 drink bags 2 СМ1РО, БРПКrecess)",,,,
09:25-10:25,,CDR,,Physical Exercise (TVIS),,,,
09:25-10:55,,FE-2,,Physical Exercise (ARED),,,,
09:25-09:45,,FE-1-19,,WPA RIP sample collection for analysis on the ground,,,,
09:45-10:35,,,WRS Sample Collection,,,,,
10:00-10:20,,FE-1,,"БРП-М water sampling to sampling containers  (Use ЕДП #802248 (b/c005866R, СМ1РО_1_135_1))",,,,
10:20-10:25,,,On MCC Go ISS O2 repress from Progress 366 СрПК (start),,,,,
,,"VC SFP, FE-1",,,,,,
,10:30-10:50,,,"Visiting Crew TV Downlink. (То=10:27,Т1,Т2,Т3 from СПП)",,,,
,,(assists),,,,,,
,,,,,,,,
10:35-10:45,,CDR,,Terminate EMU METOX Regeneration,,,,
10:35-10:45,,FE-1-19,,Processing ТОСА test data,,,,
10:45-11:30,,"CDR, FE-1-19",,EMU cooling loop filtration to eliminate biomass and particulate matter,,,,
11:15-11:20,,FE-2,,PAO Hardware Setup,,,,
11:20-11:30,,,MELFI: ICEPAC Insertion into container module,,,,,
GMT,,CREW,ACTIVITY,,,,,
06:00-06:10,,"CDR, FE-1",Morning Inspection,,,,,
06:00-06:20,,FE-2,Nutrition and Repository: Urine Sample Collection,,,,,
06:10-06:30,,FE-1,Post-sleep,,,,,
06:10-06:40,,CDR,Post-sleep,,,,,
06:20-06:30,,FE-2,Nutrition and Repository: MELFI Urine Sample First Insertion,,,,,
06:30-06:45,,FE-1,Nutrition and Repository: Blood Draw Operator,,,,,
06:30-06:50,,FE-2,Nutrition and Repository: Blood Samples,,,,,
06:40-07:30,,CDR,BREAKFAST,,,,,
06:50-07:00,,FE-2,Nutrition and Repository: FE2 - Refrigerated Centrifuge Setup,,,,,
06:55-07:15,,FE-1,Nutrition and Repository: Urine Sample Collection,,,,,
07:00-07:10,,FE-2,Nutrition and Repository: Refrigerated Centrifuge Config,,,,,
07:10-07:15,,FE-2,SLEEP: FE2 data log,,,,,
07:15-07:40,,FE-2,Post-sleep,,,,,
07:15-07:25,,FE-1,Nutrition and Repository: MELFI Urine Sample First Insertion,,,,,
07:25-08:25,,FE-1,BREAKFAST,,,,,
07:30-08:00,,CDR,"Weekly HousekeepingReplacement of Dust Filter in DC1 (ФГБ1ПГО_2_226_1, bag #362-28, b/c00046585R). Update the IMS.Cleaning В1, В2 in DC1/Grille cleaning in fans: ВПрК, ВПхО, ФС5, ФС6, ФС9, FGB ЦВ2",,,,,
07:40-08:00,,FE-2,Nutrition and Repository: Blood Sample Insertion into MELFI,,,,,
08:00-09:05,,FE-2,BREAKFAST,,,,,
08:00-08:15,,CDR,HAM radio session with Nizhny Novgorod,,,,,
08:15-10:45,,CDR,"Weekly HousekeepingReplacement of Dust Filter in DC1 (ФГБ1ПГО_2_226_1, bag #362-28, b/c00046585R). Update the IMS.Cleaning В1, В2 in DC1/Grille cleaning in fans: ВПрК, ВПхО, ФС5, ФС6, ФС9, FGB ЦВ2",,,,,
08:40-08:55,,FE-1,Camcorder Installation for BISE Experiment,,,,,
08:55-09:40,,FE-1,Hardware installation for BISE Experiment,,,,,
09:05-10:25,,FE-2,Weekly Housekeeping,,,,,
09:40-10:10,,FE-1,Weekly Housekeeping,,,,,
10:10-10:50,,FE-1,BISE Experiment ops /,,,,,
10:25-10:30,,FE-2,BISE: Historical Photography,,,,,
10:30-11:30,,FE-2,Physical Exercise (TVIS),,,,,
10:50-12:30,,FE-1,Weekly Housekeeping,,,,,
11:00-11:10,,CDR,Greetings to trainees on Kruzenschtern training Sail Boat (S-band),,,,,
11:20-12:50,,CDR,"Physical Exercise (TVIS), day 3",,,,,
11:30-13:00,,FE-2,Physical Exercise (ARED),,,,,
GMT,CREW,ACTIVITY,,,,,,
06:00-06:10,"CDR,FE-1",Morning Inspection,,,,,,
06:00-06:05,FE-2,SLEEP FE2 Data Log,,,,,,
06:05-06:10,FE-2,Taking Biphosphate Tablets,,,,,,
06:10-06:40,"CDR,FE-1",Post-sleep,,,,,,
06:10-06:20,FE-2,Morning Inspection,,,,,,
06:20-06:50,FE-2,Post-sleep,,,,,,
06:40-07:30,"CDR,FE-1",BREAKFAST,,,,,,
06:50-07:40,FE-2,BREAKFAST,,,,,,
07:30-07:45,"CDR,FE-1",Prep for Work,,,,,,
07:40-07:45,FE-2,Prep for Work,,,,,,
07:45-08:00,.,Daily Planning Conference (S-band),,,,,,
08:00-08:25,FE-2,Prep for Work,,,,,,
08:00-08:15,FE-1,Prep for Work,,,,,,
08:00-08:30,CDR,Crew time for ISS adaptation and orientation,,,,,,
08:20-08:30,FE-1,Setting up PHS equipment,,,,,,
08:25-08:40,FE-2,Private Family Conference,,,,,,
08:30-09:00,"CDR,FE-1 - assists",Periodic Health Status,,,,,,
08:40-08:55,FE-2,Potable Water Dispenser (PWD) - Daily Ambient Flush,,,,,,
09:00-09:30,CDR,Elektron purge and power down,,,,,,
09:00-09:30,"FE-1,FE-2 - assists",Periodic Health Status,,,,,,
09:30-10:30,FE-2,Physical Exercise (TVIS),,,,,,
09:30-10:10,FE-1,Periodic Health Status (PHS) Data Entry and Hardware Stow,,,,,,
09:40-09:45,CDR,Laptop1-КЦП1-ЦВМ [Laptop1-CPC1-CC] Link Test. Tagup withspecialists (S-band),,,,,,
09:45-10:00,CDR,Crew time for ISS adaptation and orientation,,,,,,
10:00-10:05,CDR,Laptop2 Activation. Tagup with specialists (S-band),,,,,,
10:05-10:20,CDR,Crew time for ISS adaptation and orientation,,,,,,
10:10-10:40,FE-1,SLAMMD Hardware Setup,,,,,,
10:20-10:25,CDR,Laptop2-КЦП2-ЦВМ [Laptop2-CPC2-CC] Link Test. Tagup withspecialists (S-band),,,,,,
10:25-10:30,CDR,Laptop2 Power Off. Tagup with specialists (S-band),,,,,,
10:30-10:45,CDR,Routine Maintenance of КН and КВ Tank Valves in SM Rodnik System,,,,,,
10:30-12:00,FE-2,Physical Exercise (ARED),,,,,,
10:40-10:55,FE-1,SLAMMD Test Run,,,,,,
10:45-11:10,CDR,Counter Measure System (CMS) Harmful Contaminant Measurements inSM,,,,,,
10:55-11:05,FE-1,SLAMMD Body Mass Measurement,,,,,,
11:05-11:25,FE-1,SLAMMD Hardware Temp Stow,,,,,,
11:10-11:30,CDR,СОЖ MaintenanceActivation of Vozdukh CO2 Differential Gas Analyzer,,,,,,
11:25-11:55,FE-1,Psychological Evaluation Program (WinSCAT),,,,,,
GMT,CREW,ACTIVITY,,,,,,
06:00-06:10,,Morning Inspection,,,,,,
06:10-06:40,,Post-sleep,,,,,,
06:40-07:30,,BREAKFAST,,,,,,
07:30-07:40,FE-1,Prep for Work,,,,,,
07:30-07:55,"CDR, FE-2",Prep for Work,,,,,,
07:40-07:45,FE-1,Configure video equipment to record TVIS exercise,,,,,,
07:45-07:55,FE-1,Prep for Work,,,,,,
07:55-08:10,,Daily Planning Conference (S-band),,,,,,
08:10-08:25,,Crew conference with Astronaut Office (S-band),,,,,,
08:25-08:40,CDR,IMS tagup (S-band),,,,,,
08:25-11:25,FE-1,TVIS R&R,,,,,,
08:25-08:40,FE-2,CEVIS: remove and stow contingency control panel,,,,,,
08:40-11:25,FE-2,TVIS R&R,,,,,,
08:45-09:15,CDR,Cleaning LIV TVS Voltage Converter Ventilation Grille,,,,,,
09:15-09:45,CDR,Counter Measure System (CMS) Harmful Contaminant Measurements inSM,,,,,,
09:45-10:10,CDR,PHASE. Photography session day and closeout. Tagup with specialists asnecessary (S-band),,,,,,
10:10-10:50,CDR,"Preparation of spacesuit replaceable elements, service and personal gear.Tagup with specialists (S-band)",,,,,,
10:50-11:00,CDR,"Set up 825М3 pack 1 for charging and start charging  (#1267990193, b/c00045761R, ФГБ1ПГО_3_315_1)",,,,,,
11:00-11:15,CDR,Terminate STIMUL-НЧ Battery Pack 1 charging; start charging Pack 2,,,,,,
11:25-12:55,FE-2,Physical Exercise (ARED),,,,,,
11:25-12:55,CDR,"Physical Exercise (VELO), day 3",,,,,,
11:45-12:45,FE-1,Physical Exercise (CEVIS),,,,,,
12:45-12:50,FE-1,BCAT-4: Camera Checkout,,,,,,
12:50-12:55,FE-1,Opening LAB window shutters,,,,,,
12:55-13:55,,LUNCH,,,,,,
13:55-17:35,"FE-1, FE-2",TVIS R&R,,,,,,
14:05-15:35,CDR,Cleaning ГЖТ4 (Gas-Liquid Heat Exchanger) ВТ-7 Fan Screen,,,,,,
15:35-16:15,CDR,СОЖ Maintenance,,,,,,
16:15-16:35,CDR,IMS Update,,,,,,
16:35-17:35,CDR,Physical Exercise (ARED),,,,,,
17:35-19:05,FE-1,Physical Exercise (ARED),,,,,,
17:35-18:35,FE-2,Physical Exercise (CEVIS),,,,,,
18:10-19:10,CDR,Evening Work Prep,,,,,,
18:35-18:45,FE-2,Potable Water Dispenser (PWD): Daily Ambient Flush,,,,,,
18:45-19:10,FE-2,Evening Work Prep,,,,,,
19:05-19:10,FE-1,DCS 760 Camera Configuration,,,,,,
GMT,,CREW,,ACTIVITY,,,,
,06:00-06:10,,,,Morning Inspection,,,
,06:10-06:40,,VC SFP,,Post-sleep,,,
06:10-06:30,,"E18, E19",,Post-sleep,,,,
06:30-07:20,,,BREAKFAST,,,,,
,06:40-07:30,,VC SFP,,BREAKFAST,,,
07:20-07:35,,"E18, E19",,ISS Crew and ГОГУ (RSA Flight Control Team) Weekly Conference (S-band),,,,
,07:30-07:50,,VC SFP,,Prep for Work,,,
07:35-08:00,,"FE-1, FE-2,CDR-19",,Prep for Work,,,,
07:35-07:55,,CDR,,,,,,
07:35-07:45,,FE-1-19,,,,,,
07:45-08:00,,,BCAT-4 Payload Review,,,,,
,07:50-08:00,,VC SFP,,Private medical conference (VHF),,,
07:55-08:00,,CDR,,JPM and LAB window shutter closure,,,,
08:00-08:15,,"E18, E19",,Daily Planning Conference (S-band),,,,
08:15-09:45,,FE-2,,Physical Exercise (ARED),,,,
08:15-08:25,,CDR,,Terminate EMU METOX Regeneration,,,,
08:15-08:25,,FE-1-19,,BCAT-4 Ops Video Setup,,,,
08:15-10:05,,CDR-19,,TYPOLOGY. Experiment ops by E19 CDR. Tagup with specialists (S-band),,,,
08:25-08:35,,CDR,,Start EMU METOX Regeneration,,,,
08:25-09:25,,FE-1-19,,BCAT-4 hardware set up.,,,,
08:30-08:45,,FE-1,,TYPOLOGY. Experiment ops by E19 CDR  (assistance),,,,
08:45-09:45,,"FE-1, CDR",,Soyuz 223 СУД test before undocking. Tagup with specialists (VHF2),,,,
09:25-09:35,,FE-1-19,,BCAT-4 Crystal Check,,,,
09:35-09:50,,,Photography of BCAT-4 crystals,,,,,
09:45-10:05,,FE-2,,Cardiolab Hard Drive Swap,,,,
09:45-09:50,,CDR,,"SAMS: ICU Activation, Section 1",,,,
09:50-10:00,,FE-1-19,,"BCAT-4 Crystal Photography of Sample 2 using Flash, Multiple AnglePhotos",,,,
,,"CDR, FE-1,",,Soyuz 223 Descent Procedure OBT Briefing. Tagup with specialists (S-,,,,
,09:50-13:00,,,,,,,
,,VC SFP,,band),,,,
,,,,,,,,
10:00-10:45,,FE-1-19,,3D SPACE  Experiment Self Study,,,,
10:05-10:20,,CDR-19,,CEVIS IFM procedure review,,,,
10:05-11:05,,FE-2,,Physical Exercise (CEVIS),,,,
10:20-10:25,,CDR-19,,On MCC Go ISS O2 repress from Progress 366 СрПК (start),,,,
10:25-11:05,,,СОЖ Maintenance,,,,,
10:45-12:00,,FE-1-19,,3D Space Experiment Ops,,,,
GMT,,CREW,ACTIVITY,,,,,
06:00-06:10,,CDR,Morning Inspection,,,,,
06:00-06:20,,FE-1,Nutrition and Repository Urine Collection,,,,,
06:00-06:05,,FE-2,SLEEP FE2 Data Log,,,,,
06:05-06:15,,FE-2,Morning Inspection,,,,,
06:10-06:40,,CDR,Post-sleep,,,,,
06:15-06:25,,FE-2,Post-sleep,,,,,
06:20-06:25,,FE-1,Nutrition and Repository - Insertion of Urine Sample into MELFI,,,,,
06:25-06:45,,FE-1,Nutrition and Repository - Blood Samples,,,,,
06:25-06:40,,FE-2,Nutrition and Repository - Blood Draw Operator,,,,,
06:40-07:00,,FE-2,Post-sleep,,,,,
06:40-07:30,,CDR,BREAKFAST,,,,,
06:45-06:55,,FE-1,Nutrition and Repository FE2 - Refrigerated Centrifuge Setup,,,,,
06:55-07:05,,FE-1,Nutrition and Repository- Refrigerated Centrifuge Config,,,,,
07:00-07:20,,FE-2,Nutrition and Repository Urine Collection,,,,,
07:05-07:35,,FE-1,Post-sleep,,,,,
07:20-07:25,,FE-2,Nutrition and Repository - Insertion of Urine Sample into MELFI,,,,,
07:25-08:15,,FE-2,BREAKFAST,,,,,
07:35-07:55,,FE-1,Nutrition and Repository - Blood Sample Insertion into MELFI,,,,,
07:55-08:00,,FE-1,BCAT-4 Camera checkout,,,,,
08:00-09:00,,FE-1,BREAKFAST,,,,,
08:30-08:45,,CDR,Easter Greetings - a Conference with the Patriarch (VHF),,,,,
08:50-09:00,,FE-2,Nutrition and Repository - Stow Blood Sample Collection and ProcessingHardware,,,,,
09:00-10:30,,FE-2,Physical Exercise (ARED),,,,,
10:30-11:30,,FE-2,Physical Exercise (TVIS),,,,,
10:40-10:55,,CDR,Private Family Conference (Ku+S-band),,,,,
11:30-13:00,,CDR,"Physical Exercise (TVIS), day 4",,,,,
13:00-14:00,,.,LUNCH,,,,,
14:00-14:10,,FE-2,Potable Water Dispenser (PWD) - Daily Ambient Flush,,,,,
14:00-14:15,,CDR,"IRIDIUM phone charging - setup, start charge. Tagup as necessary (S-band)",,,,,
14:00-14:20,,FE-1,Nutrition and Repository Urine Collection,,,,,
14:20-14:25,,FE-1,Nutrition and Repository - Insertion of Urine Sample into MELFI,,,,,
14:30-14:35,,CDR,IRIDIUM phone charging - status check,,,,,
14:50-14:55,,CDR,IRIDIUM phone charging - status check,,,,,
14:50-15:10,,FE-2,Nutrition and Repository - Urine Sample Collection,,,,,
15:10-15:15,,FE-2,Nutrition and Repository - Urine Sample MELFI Insertion,,,,,
15:10-15:15,,CDR,IRIDIUM phone charging - status check,,,,,
15:15-15:25,,CDR,"IRIDIUM phone charging - terminate charge, cleanup",,,,,
15:15-15:35,,FE-2,Nutrition and Repository - Stow Urine Sampling Hardware,,,,,
GMT,CREW,ACTIVITY,,,,,,
06:00-06:05,FE-1,SLEEP FE1 Data Log,,,,,,
06:00-06:05,FE-2,Supplement Regimen,,,,,,
06:00-06:10,CDR,Morning Inspection,,,,,,
06:05-06:15,FE-2,,,,,,,
06:05-06:25,FE-1,Audio Dosimeter Preparation,,,,,,
06:10-06:40,CDR,Post-sleep,,,,,,
06:15-06:20,FE-2,,,,,,,
06:20-06:35,FE-2,Private Psychological Conference (Ku+S-band),,,,,,
06:25-06:35,FE-1,Morning Inspection,,,,,,
06:35-07:05,FE-1,Post-sleep,,,,,,
06:35-06:50,FE-2,,,,,,,
06:40-07:30,CDR,BREAKFAST,,,,,,
06:50-07:35,FE-2,,,,,,,
07:05-07:55,FE-1,,,,,,,
07:30-08:00,CDR,Prep for Work,,,,,,
07:35-08:00,FE-2,,,,,,,
07:55-08:00,FE-1,,,,,,,
08:00-08:15,.,Daily Planning Conference (S-band),,,,,,
08:15-08:55,FE-2,Columbus Auditing and Repacking of SOLO and PCBA kits and ATV bagitems,,,,,,
08:30-09:10,CDR,"RELAXATION. Hardware Activation And Setup, Ionosphere Observations.Tagup with specialists (S-band)",,,,,,
08:35-09:35,FE-1,"EarthKAM Setup, Activation",,,,,,
08:55-09:00,FE-2,Microgravity Measurement Apparatus (MMA) Laptop Terminal (MLT)Power Cycle,,,,,,
09:10-09:40,CDR,RELAXATION. Hardware Removal. Tagup with specialists as necessary(S-band),,,,,,
09:15-09:45,FE-2,Try Zero-G Experiment G1 Camcorder and MPC Setup 1,,,,,,
09:35-09:40,FE-1,Space Acceleration Measurement System (SAMS) Interim Control UnitDrawer 1 Activation,,,,,,
09:40-09:55,FE-1,BISE. Setting Up Hardware For History Photos,,,,,,
09:45-10:25,FE-2,Try Zero-G Experiment 1,,,,,,
09:55-10:35,FE-1,BISE. Hardware setup,,,,,,
10:25-11:25,FE-2,Physical Exercise (TVIS),,,,,,
10:35-10:45,FE-1,ALTEA Dosimeter Activation,,,,,,
11:00-11:35,FE-1,BISE. Experiment Ops,,,,,,
11:25-11:30,FE-2,BISE. Photo Documentation,,,,,,
11:30-13:00,CDR,Physical Exercise (TVIS) day 4,,,,,,
11:30-13:00,FE-2,Physical Exercise (ARED),,,,,,
11:35-11:50,FE-1,SAMS Hardware Relocation,,,,,,
GMT,,CREW,,ACTIVITY,,,,
06:00-06:05,,CDR,,Integrated Immune Liquid Saliva Sample Collection,,,,
,,"FE-1,FE-2,",,,,,,
,06:00-06:10,,,Morning Inspection,,,,
,,,"SFPVC,CDR-19",,,,,
,,,,,,,,
06:00-06:05,,FE-1-19,,Integrated Immune Liquid Saliva Sample Collection,,,,
06:05-06:10,,CDR,,Integrated Immune Dry Saliva Sample Collection,,,,
06:05-06:10,,FE-1-19,,,,,,
06:10-06:20,,"FE-1-19,CDR",,Morning Inspection,,,,
,,"FE-1,FE-2,",,,,,,
,06:10-06:40,,,Post-sleep,,,,
,,,"CDR-19,SFPVC",,,,,
,,,,,,,,
06:20-06:30,,"CDR,FE-1-19",,Post-sleep,,,,
06:30-06:35,,CDR,,Integrated Immune Historical Photo Documentation,,,,
06:30-06:35,,FE-1-19,,Integrated Immune Dry Saliva Sample Collection,,,,
06:35-06:50,,"CDR,FE-1-19",,Post-sleep,,,,
,,"FE-1,FE-2,",,,,,,
,06:40-07:30,,,BREAKFAST,,,,
,,,"CDR-19,SFPVC",,,,,
,,,,,,,,
06:50-07:40,,"CDR,FE-1-19",,BREAKFAST,,,,
,,"FE-1,FE-2,",,,,,,
,07:30-08:00,,,Prep for Work,,,,
,,,"CDR-19,SFPVC",,,,,
,,,,,,,,
07:40-08:00,,"CDR,FE-1-19",,Prep for Work,,,,
08:00-08:15,,"ISS-18,ISS-19",,Daily Planning Conference (S-band),,,,
08:15-08:20,,FE-1-19,,BCAT-4 Camera Check,,,,
08:15-09:40,,"FE-1,CDR-19",,ISS18 to ISS19 Crew Handover,,,,
08:20-09:50,,"CDR,FE-1-19",,Crew Handover,,,,
,08:45-08:55,,SFPVC,,Tagup with Consultants Team via VHF1 (VHF),,,
09:10-09:50,,FE-2,,"JAXA Commercial Activity 3, Preparation",,,,
09:40-10:20,,"FE-1,CDR-19",,"Filling (separation) EDV (KOV) for Elektron from CWC #1068,1077(Lab1S2)",,,,
09:50-11:20,,FE-2,,Physical Exercise (ARED),,,,
09:50-10:50,,CDR,,Physical Exercise (TVIS),,,,
10:20-10:35,,FE-1,,ИПД Air Sampling for Ammonia in SM,,,,
10:20-11:00,,CDR-19,,"СОЖ Maintenance. СВО, СП, and POTOK Air Purification SystemData Calldowns for SM and FGBInspection of СМ-У connector on МНР-НС separator pump in АСУ(behind panel 139, for moisture)",,,,
10:35-10:50,,FE-1,,SM air sampling using АК-1М sampler,,,,
10:50-12:20,,FE-1CDR-assists,,LBNP Exercise (FINAL). То=11:48. Tagup with specialists (VHF),,,,
11:00-11:15,,CDR-19,,Verify ИП-1 Flow Meter Configuration,,,,
11:15-12:45,,CDR-19,,Scheduled maintenance of Elektron Liquid Unit #056.  Tagup withspecialists (S-band),,,,
11:20-12:20,,FE-2,,Physical Exercise (CEVIS),,,,
11:50-11:55,,FE-1-19,,Integrated Immune Dry Saliva Sample Collection,,,,
GMT,CREW,ACTIVITY,,,,,,
06:00-06:10,"CDR, FE-1",Morning Inspection,,,,,,
06:00-06:05,FE-2,SLEEP: FE2 Data Log,,,,,,
06:05-06:15,FE-2,Morning Inspection,,,,,,
06:10-06:40,"CDR, FE-1",Post-sleep,,,,,,
06:15-06:45,FE-2,Post-sleep,,,,,,
06:40-07:30,"CDR, FE-1",BREAKFAST,,,,,,
06:45-07:35,FE-2,BREAKFAST,,,,,,
07:30-07:50,"CDR, FE-1",Prep for Work,,,,,,
07:35-07:40,FE-2,СBEEF: door closure,,,,,,
07:40-07:50,FE-2,Prep for Work,,,,,,
07:50-08:05,,Daily Planning Conference (S-band),,,,,,
08:05-08:25,FE-1,Biorhythm. Preparation and Recording,,,,,,
08:05-09:05,FE-2,Physical Exercise (TVIS),,,,,,
08:05-09:35,CDR,IMS audit of utensils,,,,,,
08:25-09:25,FE-1,Crew time for ISS adaptation and orientation,,,,,,
09:05-09:20,FE-2,WHC Cabin Removal,,,,,,
09:20-10:05,FE-2,LAD22B RPCM R&R,,,,,,
09:25-10:15,FE-1,"Replacement of filters in FGB dust collectors ПС1, ПС2  (ФГБ1ПГО_2_219,white bag 1-2 or ФГБ1ПГО_2_219_1, bag 363-17). Update the IMS.",,,,,,
09:35-10:15,CDR,Preparations for ТВМ1 (A11) and ЦВМ2 Replacement,,,,,,
10:05-10:20,FE-2,WHC Cabin Installation,,,,,,
10:15-10:35,CDR,IMS Update,,,,,,
10:20-10:30,FE-2,CEVIS Monthly Maintenance,,,,,,
10:35-11:35,FE-1,Physical Exercise (TVIS),,,,,,
10:35-11:05,FE-2,Psychological Evaluation Program (WinSCAT),,,,,,
10:45-10:55,CDR,Switching Vozdukh to manual mode,,,,,,
10:55-11:45,CDR,Crew time for ISS adaptation and orientation,,,,,,
11:05-11:20,FE-2,G1: Set up MPC,,,,,,
11:20-12:50,FE-2,SPACE Experiment 1,,,,,,
11:35-13:05,FE-1,Physical Exercise (ARED),,,,,,
11:45-13:15,CDR,Physical Exercise (TVIS) day 3,,,,,,
12:50-13:15,FE-2,Environmental Health System (EHS): CSA-CP Calibration,,,,,,
13:05-13:15,FE-1,Potable Water Dispenser (PWD): Daily Ambient Flush,,,,,,
13:15-14:15,,LUNCH,,,,,,
14:15-14:45,FE-2,SPACE Experiment 2,,,,,,
14:15-14:40,FE-1,AgCam: Application Software Load,,,,,,
14:15-14:55,CDR,СОЖ Maintenance,,,,,,
14:40-15:20,FE-1,AgCam: Software Ghost Load onto A31P,,,,,,
GMT,,CREW,,ACTIVITY,,,,
16:00-16:05,,FE-1-19,,Integrated Immune Liquid Saliva Sample Collection,,,,
,,"FE-1, CDR-",,,,,,
,16:00-16:10,,,Morning Inspection,,,,
,,,"19, SFPVC",,,,,
,,,,,,,,
16:00-16:05,,FE-2,,Supplement Regimen,,,,
16:00-16:05,,CDR,,Integrated Immune: Liquid Saliva Sample Collection,,,,
16:05-16:15,,"CDR, FE-2,FE-1-19",,Morning Inspection,,,,
,,"FE-1, CDR-",,,,,,
,16:10-16:40,,,Post-sleep,,,,
,,,"19, SFPVC",,,,,
,,,,,,,,
16:15-16:40,,"CDR, FE-2,FE-1-19",,Post-sleep,,,,
,16:40-17:30,,,,BREAKFAST,,,
,,,,,,,,
,17:30-18:00,,,Prep for Work,,,,
,,,,,,,,
17:30-17:40,,FE-1,,BIO4. Swap RLC Biocontainers in KUBIK 3,,,,
17:40-18:00,,FE-1,,Prep for Work,,,,
18:00-18:15,,"ISS-18, ISS-19",,Daily Planning Conference (S-band),,,,
18:15-20:55,,FE-1,,Stow return equipment in Soyuz,,,,
18:15-18:45,,CDR-19,,Counter Measure System (CMS) Harmful Contaminant Measurements inSM,,,,
18:45-18:55,,FE-2,,Preparation for Moon Photography,,,,
