0,1,2,3,4,5,6,7,8,9
,FE-1,Weekly Housekeeping. Cleaning FGB ЦВ2 fan screens. Replacement of SMПФ1-4 dust filter cartridges and filter fragment prep,,,,,,,
08:15-09:25,CDR,Weekly Cleaning,,,,,,,
09:25-10:55,Physical Exercise (RED),,,,,,,,
10:55-12:25,Weekly Cleaning,,,,,,,,
10:55-12:25,FE-1,"Physical Exercise (TVIS), day 1",,,,,,,
10:55-12:25,FE-2,Physical Exercise (RED),,,,,,,
12:25-12:55,.,Weekly Planning Conference (S-band),,,,,,,
12:55-13:55,.,LUNCH,,,,,,,
13:55-14:45,CDR,Bracelet – nominal ops prep,,,,,,,
14:30-14:50,FE-1,"Replacement of Urine Receptacle (МП Urine Receptacle #1070168, b/c00047648R, СМ1РО_1_139_1 ) and Filter-Insert (Ф-В No605066, b/c00046420R, СМ1РО_1_138_1, in pouch #0570070); discard the removeditems, update IMS",,,,,,,
14:45-14:55,CDR,FMK Deployment Ops,,,,,,,
14:50-15:30,FE-1,"СОЖ Maintenance. СВО, СП, and POTOK Air Purification System datacalldowns",,,,,,,
15:30-16:30,CDR,Physical Exercise (TVIS),,,,,,,
15:55-16:25,FE-1,Evening work prep,,,,,,,
16:35-17:40,CDR,SDTO HMS Bracelet Scanning (Ku-band),,,,,,,
,FE-1 assists,,,,,,,,
17:15-18:15,FE-2,Physical Exercise (CEVIS),,,,,,,
17:40-17:50,CDR,Voluntary Science HRF1 Ultrasound Software Log,,,,,,,
17:45-18:45,FE-1,"Physical Exercise (TVIS), day 1",,,,,,,
17:50-18:10,CDR,Bracelet Stow,,,,,,,
18:10-18:15,Lab Window Shutter Close,,,,,,,,
18:15-18:45,"CDR,FE-2",Evening work prep,,,,,,,
18:45-19:00,.,Daily Planning Conference (S-band),,,,,,,
19:00-19:30,.,Evening work prep,,,,,,,
19:30-20:00,.,DINNER,,,,,,,
20:00-20:30,.,Daily Food Prep,,,,,,,
20:30-21:30,.,Pre-sleep,,,,,,,
21:30-06:00,.,SLEEP,,,,,,,
GMT,CREW,ACTIVITY,,,,,,,
06:00-06:10,"CDR, FE-2",Morning Inspection,,,,,,,
,FE-1,SONOCARD. Experiment (termination),,,,,,,
06:10-06:20,FE-1,Morning Inspection,,,,,,,
06:10-06:40,"CDR, FE-2",Post-sleep,,,,,,,
06:20-06:50,FE-1,,,,,,,,
06:40-07:30,"CDR, FE-2",BREAKFAST,,,,,,,
06:50-07:40,FE-1,,,,,,,,
07:30-07:55,"CDR, FE-2",Prep for Work,,,,,,,
07:40-07:55,FE-1,,,,,,,,
07:55-08:10,,Daily Planning Conference (S-band),,,,,,,
08:10-10:00,CDR,SM Ventilation System Preventive Maintenance,,,,,,,
08:10-08:15,"FE-1, FE-2",Prep for Work,,,,,,,
08:15-08:45,FE-2,FSL LAN Cable R&R,,,,,,,
08:15-08:30,FE-1,SONOCARD. Copy Data to RSE-MED Laptop,,,,,,,
08:30-08:40,Matryoshka-R. PCMCIA card replacement in AST spectrometer,,,,,,,,
08:40-09:00,Transfer of FGB enclosures from ATV,,,,,,,,
08:45-09:35,FE-2,FSL-MIL bus 1553 R&R,,,,,,,
09:00-10:50,FE-1,Installation of enclosures in zone 23А (panel 412). Tagup with specialists(as necessary) (S-band),,,,,,,
09:35-10:00,FE-2,ELITE-S2 IMU EXPRESS Rack 2 Setup,,,,,,,
10:00-11:30,Physical Exercise (RED),,,,,,,,
10:00-11:30,CDR,"Physical Exercise (TVIS), day 3",,,,,,,
10:50-11:15,FE-1,FGB ЦВ1 Fan Screen Cleaning,,,,,,,
11:30-12:30,CDR,ISS RS plug-in audit,,,,,,,
,FE-2,Physical Exercise (CEVIS),,,,,,,
,FE-1,"Physical Exercise (VELO+RED), day 3",,,,,,,
12:30-13:00,,Shuttle Pre-pack Conference (S-band),,,,,,,
13:00-14:00,,LUNCH,,,,,,,
14:00-14:10,CDR,PAO Hardware Setup,,,,,,,
14:10-14:20,,Crew prep for PAO,,,,,,,
14:20-14:40,,PAO Event (Ku + S-band),,,,,,,
14:40-15:20,CDR,"Filling (separation) of EDV (KOV) for Elektron (from CWC 1076, LAB1S1b/c 00059263J)",,,,,,,
14:40-15:40,FE-1,Installation of enclosures in zone 28Б (panel 419). Tagup with specialists(as necessary) (S-band),,,,,,,
14:40-17:40,FE-2,EVA Tool Config,,,,,,,
15:20-16:00,CDR,СОЖ Maintenance,,,,,,,
15:40-17:10,FE-1,"Physical Exercise (TVIS), day 3",,,,,,,
16:00-17:00,CDR,Crew time for ISS adaptation and orientation,,,,,,,
17:05-18:05,"Physical Exercise (VELO+RED), day 3",,,,,,,,
17:10-17:30,FE-1,IMS Update,,,,,,,
17:30-18:30,Crew time for ISS adaptation and orientation,,,,,,,,
GMT,,CREW,,ACTIVITY,,,,,
06:15-06:25,,ISS17,,Morning Inspection,,,,,
06:15-06:25,,FE-1,,IMMUNO. First saliva sample collection,,,,,
06:15-06:20,,CDR,,Integrate Immune - CDR Liquid Saliva Sample Collection,,,,,
06:15-06:20,,FE-2,,Integrate Immune - Liquid Saliva Sample Collection 1J/A FE2,,,,,
,,,,"KAP07. Temperature check, removing samples D,E,F, and setting up",,,,,
,06:15-06:30,,SFPVC,,,,,,
,,,,,"samples G,H",,,,
,,,,,,,,,
06:20-06:55,,"FE-2, CDR",,Post-sleep,,,,,
06:25-07:05,,CDR-17,,Post-sleep,,,,,
06:25-06:55,,FE-1-17,,Post-sleep,,,,,
06:25-06:30,,FE-1,,"IMMUNO. Log entry, morning use of АСУ as a start",,,,,
,06:30-07:00,,SFPVC,,Post-sleep,,,,
06:30-06:55,,FE-1,,Post-sleep,,,,,
06:55-07:45,,"FE-2, CDR,FE-1-17",,BREAKFAST,,,,,
06:55-07:05,,FE-1,,"IMMUNO. First stress test, questionnaire data entry",,,,,
,07:00-07:50,,SFPVC,,BREAKFAST + КАР06,,,,
07:05-07:20,,"FE-1, CDR-17",,IMMUNO. Venous blood collection,,,,,
07:20-07:40,,FE-1,,IMMUNO. Venous blood sample processing (smear),,,,,
07:25-07:40,,CDR-17,,IMMUNO. Venous blood sample processing. Blood samplecentrifuge processing,,,,,
07:40-07:55,,CDR-17,,BREAKFAST,,,,,
07:40-08:10,,FE-1,,BREAKFAST,,,,,
07:45-08:10,,"FE-2, CDR,FE-1-17",,Prep for Work,,,,,
,07:50-08:00,,SFPVC,,KAP09. Equipment deactivation and questionnaire,,,,
07:55-08:10,,CDR-17,,Prep for Work,,,,,
,08:00-08:05,,SFPVC,,KAP08. Temperature monitoring_1,,,,
,08:05-08:15,,SFPVC,,Tagup with Consultant Team over VHF1,,,,
08:10-08:25,,"ISS16, 17",,Daily Planning Conference (S-band),,,,,
,08:15-08:45,,SFPVC,,KAP02. Daily ops - morning (monitoring and video recording),,,,
08:25-08:40,,"ISS16, 17",,ISS Crew and ГОГУ (RSA Flight Control Team) Weekly Conference(S-band),,,,,
08:40-08:55,,CDR,,JLP HCTL Status and JLP Shell Temperature Periodic Monitoring,,,,,
08:40-09:10,,ISS17,,OBT for ATV Gas Transfer. Tagup with specialists (S-band),,,,,
08:40-08:50,,FE-2,,MSG: activation,,,,,
08:40-08:55,,FE-1,,Prep for Work,,,,,
,08:45-09:15,,SFPVC,,"KAP01. Daily Ops (monitoring, photography, questionnaire)",,,,
08:50-09:00,,FE-2,,CSLM2 - Open Vacuum Vent 1,,,,,
08:55-09:00,,CDR,,Japanese Experiment Logistics Module-Pressurized Section (JLP)Minimum Keep Active Monitor (MKAM) fan activation,,,,,
GMT,,CREW,,ACTIVITY,,,,,
09:00-09:10,,ISS-16,,"Morning Inspection, FE-2",,,,,
,09:00-13:00,,"ISS-17,SFPVC",,Soyuz ODF Ops,,,,
09:10-09:40,,ISS-16,,Post-sleep,,,,,
09:40-10:30,,ISS-16,,BREAKFAST,,,,,
10:30-11:00,,"FE-1,CDR",,Work prep.,,,,,
10:30-10:35,,FE-2,,Activation of A31P Laptop,,,,,
10:35-10:40,,FE-2,,Radio deactivation in SM,,,,,
10:40-11:00,,FE-2,,Prep for Work,,,,,
11:00-11:15,,"FE-1,CDR,FE-2",,Daily Planning Conference (S-band),,,,,
11:15-11:30,,CDR,,SM TV System activation to receive TV from Soyuz and transmit TV viaKu-band,,,,,
11:15-11:25,,FE-2,,Prep for Work,,,,,
11:30-11:35,,FE-1,,Set Cryogem-03M to + 4 С,,,,,
11:30-13:00,,CDR,,ISS-MCC TV. Soyuz docking video downlink via Ku-band,,,,,
11:40-11:50,,FE-1,,Configuring comm for Soyuz docking,,,,,
11:50-11:55,,FE-2,,Connect LAB1D6 rack to LTL before CDRA activation,,,,,
11:50-13:00,,FE-1,,Soyuz / ISS approach monitoring,,,,,
12:05-12:20,,FE-2,,IWIS Installation,,,,,
12:20-12:50,,FE-2,,ELITE. ER2 Rack Setup,,,,,
12:50-14:20,,FE-2,,Physical Exercise (RED),,,,,
13:05-13:20,,CDR,,Terminate video downlink via Ku-band,,,,,
13:15-13:20,,FE-1,,On MCC Go Move DC-Soyuz PEV to ELECTRICAL CONTROL,,,,,
13:20-13:35,,CDR,,Removal of test equipment used for Ku-band TV downlink (post-Soyuz222 docking),,,,,
13:20-13:35,,FE-1,,Hardline Soyuz/ISS Comm (post-docking),,,,,
13:35-14:35,,FE-1,,"Physical Exercise (TVIS), day 1",,,,,
13:35-13:50,,CDR,,Crew prep for PAO,,,,,
13:40-14:10,,ISS-17,,Set up two space suits for drying,,,,,
13:50-14:50,,CDR,,Physical Exercise (CEVIS),,,,,
14:35-15:50,,"CDR-17,FE-1-17",,Soyuz 222 - DC1 Interface Leak Check,,,,,
14:50-15:50,,FE-2,,Physical Exercise (CEVIS),,,,,
15:15-15:30,,FE-1,,"PAO TV coverage prep. (То=15:42, Т1,Т2,Т3 from СПП)",,,,,
15:40-15:50,,CDR,,IWIS data transfer,,,,,
15:50-16:10,,.,,"ISS-MCC TV.Soyuz-DC1 Transfer Hatch Opening, VC Arrival TV PAO",,,,,
16:10-16:30,,"CDR-17,FE-1-17",,Installing quick release screw clamps,,,,,
16:10-16:20,,FE-1,,Soyuz post-docking comm reconfig,,,,,
16:30-16:55,,.,,Safety Briefing (S-band),,,,,
16:55-17:05,,CDR,,Cleanup ops after VC Arrival TV PAO,,,,,
,16:55-17:00,,SFPVC,,"SLEEP - Donning Actiwatch, VC SFP",,,,
16:55-17:10,,FE-2,,CEVIS teardown,,,,,
16:55-17:20,,CDR-17,,Soyuz transfers,,,,,
16:55-17:05,,FE-1-17,,"Terminate drying suits 1,2",,,,,
GMT,CREW,ACTIVITY,,,,,,,
06:00-06:10,"FE-1, FE-2",Morning Inspection,,,,,,,
06:00-06:10,CDR,Acoustic dosimeters: post-sleep data recording (operation 3 of 5),,,,,,,
06:10-06:40,"FE-1, FE-2",Post-sleep,,,,,,,
06:10-06:20,CDR,Acoustic dosimeters: hardware setup for static measurements,,,,,,,
06:20-06:30,CDR,Morning Inspection,,,,,,,
06:30-06:55,CDR,Post-sleep,,,,,,,
06:40-07:30,"FE-1, FE-2",BREAKFAST,,,,,,,
06:55-07:45,CDR,BREAKFAST,,,,,,,
07:30-07:45,"FE-1, FE-2",Prep for Work,,,,,,,
07:45-08:00,,Daily Planning Conference (S-band),,,,,,,
08:00-08:30,CDR,Prep for Work,,,,,,,
08:00-08:15,FE-1,Prep for Work,,,,,,,
08:00-08:10,FE-2,Prep for Work,,,,,,,
08:15-09:45,FE-1,Surface samples from FGB equipment and structures,,,,,,,
08:30-09:30,CDR,Physical Exercise (TVIS),,,,,,,
08:55-10:25,FE-2,US SLM: setup and measurements,,,,,,,
09:30-11:00,CDR,Physical Exercise (RED),,,,,,,
09:45-10:15,FE-1,Counter Measure System (CMS) Harmful Contaminant Measurements in SM(except CO),,,,,,,
10:15-12:45,FE-1,COUNTERMEASURES [PROFILAKTIKA]. Test exercise on TVIS. Tagupwith specialists (S-band),,,,,,,
10:25-10:40,FE-2,SLM data transfer to MEC,,,,,,,
10:40-11:20,FE-2,ISS crew orientation,,,,,,,
11:00-11:05,CDR,Lab Window Shutter Close,,,,,,,
11:20-12:50,FE-2,Physical Exercise (RED),,,,,,,
11:25-11:40,CDR,Hardware removal from LAB1S6 and LAB1P6 front panels,,,,,,,
11:40-12:40,CDR,Crew departure prep,,,,,,,
12:40-12:50,CDR,Microgravity Science Glovebox Relocation Checkout (Part 1),,,,,,,
12:45-12:50,FE-1,On MCC GO ISS air repress from Progress 363 СрПК (start),,,,,,,
12:50-13:50,,LUNCH,,,,,,,
13:50-14:40,FE-2,Start BSA battery charge,,,,,,,
13:50-14:00,CDR,Glove Box (MSG): activation,,,,,,,
13:50-13:55,FE-1,ISS repress from Progress 363 СрПК (terminate),,,,,,,
13:55-14:25,FE-1,Transfer EDV-[OP] to SM Rodnik Water Tank 1 [БВ1],,,,,,,
14:00-14:10,CDR,Microgravity Science Glovebox Relocation Checkout (Part 2),,,,,,,
14:10-16:00,CDR,MTL Rack Flow Control Assembly (RFCA) R&R,,,,,,,
14:30-15:00,FE-1,"ISS-MCC-M TV. Telebridge between ISS and I Trust, I Love, I Hope TVShow, Zvezda (Star) Channel То=14:27, Т1, Т2, Т3 - from СПП",,,,,,,
14:40-15:00,FE-2,ISS crew orientation,,,,,,,
15:00-16:00,FE-1,Crew departure prep,,,,,,,
GMT,CREW,ACTIVITY,,,,,,,
06:00-06:10,,Morning inspection,,,,,,,
06:10-06:40,Post-sleep,,,,,,,,
06:40-07:30,BREAKFAST,,,,,,,,
07:30-07:45,Prep for Work,,,,,,,,
07:45-08:00,Daily Planning Conference (S-band),,,,,,,,
08:00-08:15,Prep for Work,,,,,,,,
08:30-08:50,FE-1,Sampling condensate water [КАВ] from [СРВ-К2М] upstream of Gas-LiquidMixture Filter (ФГС) - start,,,,,,,
08:50-09:20,,"TV PAO Cosmonautics Day Greetings (То=08:50, Т1, Т2, Т3 from СПП)",,,,,,,
09:20-10:50,VC14 Timeline Review. Tagup with specialists (S-band),,,,,,,,
10:50-11:20,VC14 program tagup (S-band),,,,,,,,
11:20-12:50,CDR,Physical Exercise (RED),,,,,,,
11:20-12:50,FE-1,"Physical Exercise (TVIS), day 3",,,,,,,
11:20-12:20,FE-2,Physical Exercise (CEVIS),,,,,,,
12:20-12:30,Discharge PBA because of low pressure,,,,,,,,
12:50-13:50,,LUNCH,,,,,,,
13:50-14:50,FE-2,ISS crew orientation,,,,,,,
13:50-14:50,FE-1,СРВ-К2М Control Panel (ПУ) and Pump (БПК) Test. Tagup with specialists (S-band),,,,,,,
14:20-15:00,CDR,СОЖ Maintenance,,,,,,,
14:50-16:20,FE-2,Physical Exercise (RED),,,,,,,
14:50-16:40,FE-1,Work area setup for VC14. Tagup with specialists (VHF +S-band),,,,,,,
15:00-16:00,CDR,Physical Exercise (TVIS),,,,,,,
16:00-17:00,Crew departure prep,,,,,,,,
16:20-16:25,FE-2,Payload status check,,,,,,,
16:25-16:35,MELFI Stage 1J/A Icepac Insertion 2,,,,,,,,
16:35-16:50,Private Medical Conference (S-band),,,,,,,,
16:40-17:40,FE-1,Crew departure prep,,,,,,,
17:15-17:30,"CDR, FE-2",Crew Discretionary Conference (Ku +S-band),,,,,,,
17:40-17:55,FE-1,Private Medical Conference (Ku + S-band),,,,,,,
17:55-18:05,CDR,FMK stow,,,,,,,
17:55-18:55,FE-1,"Physical Exercise (TVIS), day 3",,,,,,,
18:05-18:20,CDR,Private Medical Conference (Ku + S-band),,,,,,,
18:10-19:00,FE-2,Evening work prep,,,,,,,
18:20-19:05,CDR,,,,,,,,
18:55-19:05,FE-1,Report prep,,,,,,,
19:00-19:05,FE-2,"Transferring TVIS, RED, and HRM data to MEC",,,,,,,
19:05-19:20,,Daily Planning Conference (S-band),,,,,,,
19:20-19:30,Report prep,,,,,,,,
GMT,CREW,ACTIVITY,,,,,,,
06:00-06:10,,Morning Inspection,,,,,,,
06:10-06:40,Post-sleep,,,,,,,,
06:40-07:30,BREAKFAST,,,,,,,,
07:30-07:40,Prep for Work,,,,,,,,
07:40-07:55,Daily Planning Conference (S-band),,,,,,,,
08:00-08:15,ISS Crew and ГОГУ (RSA Flight Control Team) Weekly Conference (S-band),,,,,,,,
08:15-08:35,FE-2,Prep for Work,,,,,,,
08:15-11:15,"FE-1, CDR","СТТС routine ops (LF link and VHF receiver health check). Tagup withspecialists (S-band, VHF)",,,,,,,
08:35-08:45,FE-2,CSLM2 SPU8 Data Transfer with Crew,,,,,,,
08:50-09:20,CSLM2 SPU 8 Exchange,,,,,,,,
09:20-09:25,Payload status check,,,,,,,,
09:25-09:35,IWIS data transfer,,,,,,,,
09:35-09:50,Set up video equipment to record TVIS exercise,,,,,,,,
10:00-11:00,Physical Exercise (TVIS),,,,,,,,
11:00-12:30,Physical Exercise (RED),,,,,,,,
11:15-11:30,CDR,СТТС comm assets switchover to a backup string,,,,,,,
11:15-12:45,FE-1,"Physical Exercise (TVIS), day 2",,,,,,,
11:30-12:30,CDR,Crew time for ISS adaptation and orientation,,,,,,,
12:30-12:35,FE-2,MSG - power down,,,,,,,
12:35-12:50,PSC Installation,,,,,,,,
12:45-13:00,"CDR, FE-1",IMS tagup (S-band),,,,,,,
12:50-13:00,FE-2,Power up,,,,,,,
13:00-14:00,,LUNCH,,,,,,,
14:00-15:00,Medical Emergency Training using CHeCS,,,,,,,,
15:00-15:10,FE-2,PCS Post-Patch Reconfiguration,,,,,,,
15:00-15:30,CDR,Bracelet questionnaire,,,,,,,
15:10-15:20,FE-2,PCS power down,,,,,,,
15:20-15:25,PAO hardware setup,,,,,,,,
15:25-15:35,Crew prep for PAO,,,,,,,,
15:30-16:00,FE-1,Bracelet questionnaire,,,,,,,
15:30-17:00,CDR,"Physical Exercise (TVIS), day 2",,,,,,,
15:35-15:55,FE-2,PAO Event (Ku + S-band),,,,,,,
15:55-16:00,MPC Voltage Converter Powerdown,,,,,,,,
16:00-16:15,IWIS removal,,,,,,,,
16:00-17:00,FE-1,Crew time for ISS adaptation and orientation,,,,,,,
16:15-17:00,FE-2,Scheduled maintenance of Compound Specific Analyzer- CombustionProducts (CSA-CP),,,,,,,
17:00-17:40,FE-1,СОЖ Maintenance,,,,,,,
GMT,,CREW,,ACTIVITY,,,,,
,,"ISS16,",,,,,,,
,06:00-06:10,,"FE-1-17,",,Morning Inspection,,,,
,,SFPVC,,,,,,,
06:00-06:10,,CDR-17,,SONOCARD. Experiment (termination),,,,,
06:10-06:40,,,,Post-sleep,,,,,
06:40-07:30,,"ISS16,17",,BREAKFAST,,,,,
,06:40-07:30,,SFPVC,,Breakfast + КАР06,,,,
07:30-08:00,,"ISS16,17",,Prep for Work,,,,,
,07:30-07:40,,,,Tagup with Consultant Team over VHF1,,,,
,07:40-07:50,,SFPVC,,Prep for Work,,,,
,07:50-08:20,,,,KAP02. Daily ops - morning (monitoring and video recording),,,,
08:00-08:15,,"ISS16,17",,Daily Planning Conference (S-band),,,,,
08:15-09:15,,FE-1,,Dismantling ЛКТ (ТА251МБ) and ROM from Soyuz 221 Orbital Module,,,,,
08:15-08:30,,CDR-17,,SONOCARD. Copy data to RSE-MED Laptop,,,,,
08:15-08:25,,"CDR,FE-2",,CWC audit,,,,,
,08:20-08:50,,SFPVC,,"KAP01. Daily Ops (monitoring, photography, questionnaire)",,,,
08:30-08:45,,CDR-17,,Regeneration of БМП Ф2 Absorption Cartridge (start),,,,,
08:45-09:15,,ISS17,,Crew Medical Restraint System (CMRS) – Checkout,,,,,
08:45-09:45,,CDR,,CDRA air flow test,,,,,
,08:50-09:10,,,,Prep for Work,,,,
,,,,,,,,,
,09:10-09:30,,,KAP10. Earth photography,,,,,
,,,,,,,,,
09:15-09:25,,FE-2,,CSLM2 SPU4 Data Transfer With Crew,,,,,
09:15-09:55,,FE-1,,Sanitary-Epidemiological Status Monitoring (samples to be returned onSoyuz),,,,,
09:15-09:30,,ISS17,,Respiratory support pack checkout,,,,,
09:30-09:50,,FE-1-17,,Install SM Onboard Computer System (БВС СМ) Software to Laptop HDDS/N 1118 from a compact flash card Tagup with specialists (S-band),,,,,
09:35-09:45,,CDR-17,,Sanitary-Epidemiological Status Monitoring,,,,,
09:45-10:05,,,РБО-3-3. Loading a “new” parameter table,,,,,,
09:45-10:15,,FE-2,,CSLM2 SPU 4 Exchange,,,,,
09:55-10:35,,FE-1,,"Microbial Sample Collection(with POTOK Air Purification System deactivated,samples to be returned on Soyuz)",,,,,
10:05-10:15,,FE-1-17,,O2 Level Check,,,,,
10:15-10:45,,FE-2,,A/L Smoke Detector Inspection,,,,,
10:25-10:50,,CDR-17assists,,"ISS-MCC TV.VC TV PAO (То=10:17, Т1, Т2, Т3 - activated by Daily FlightProgram [СПП])",,,,,
,10:25-10:50,,SFPVC,,TV PAO VC Ops / r/g 7527,,,,
10:35-10:50,,FE-1,,SM air sampling using АК-1М sampler,,,,,
10:45-11:15,,FE-2,,Inspection of Node-1 Smoke Detectors,,,,,
,10:50-12:20,,SFPVC,,Photo/video ops,,,,
10:50-11:05,,FE-1,,ИПД air sampling for ammonia in SM,,,,,
10:50-11:00,,FE-1-17,,Install SM Onboard Computer System (БВС СМ) Software to Laptop HDDS/N 1118 from a compact flash card Tagup with specialists (S-band),,,,,
GMT,CREW,ACTIVITY,,,,,,,
06:00-06:20,CDR,Acoustic dosimeters: equipment setup (operation 1 of 5),,,,,,,
06:00-06:10,FE-1,"Morning inspection.Inspection of DC1 Power Panel (БВП) Circuit Breaker [АЗС]and fuses inDC1 Fuse Boxes БПП-30, БПП-36",,,,,,,
,FE-2,Morning inspection,,,,,,,
06:10-06:40,"FE-1, FE-2",Post-sleep,,,,,,,
06:20-06:30,CDR,Morning inspection,,,,,,,
06:30-07:00,CDR,Post-sleep,,,,,,,
06:40-07:30,"FE-1, FE-2",BREAKFAST,,,,,,,
07:00-07:50,CDR,,,,,,,,
07:50-07:55,CDR,Photo/TV setup for PFE footage,,,,,,,
08:00-08:05,FE-2,HAM radio setup,,,,,,,
08:05-08:15,HAM radio session,,,,,,,,
08:20-08:40,FE-1,24-hour ECG (termination),,,,,,,
08:40-09:10,Verify availability of leak check equipment SM ПрК and ATV transfer hatchclosure in the event of ATV depress valve (КСД) power unit БП failure,,,,,,,,
09:10-09:50,"СРВК-2М (Ф-Р) Filter-Reactor replacement(Take filter-reactor #303001 ,b/c00038934R bag (СМ1РО_1_135_1, bag III-1/357-22), discard the removedunit)",,,,,,,,
09:10-10:10,CDR,Physical Exercise (CEVIS),,,,,,,
09:50-12:20,FE-1,COUNTERMEASURES (PROFILAKTIKA). Cycle Ergometer experiment. Tagupwith specialists (S-band),,,,,,,
10:10-11:40,CDR,Physical Exercise (RED),,,,,,,
10:25-11:40,FE-2,OUM-PFE – hardware installation,,,,,,,
11:40-12:10,OUM-PFE – evaluation protocol,,,,,,,,
11:40-12:10,CDR,OUM-PFE - operator,,,,,,,
12:10-12:45,FE-2,OUM-PFE deactivation and stowage 1,,,,,,,
12:20-13:15,"FE-1, CDR-пом",LBNP Exercise (PRELIMINARY). То=12:45 Tagup w/ specialists (VHF),,,,,,,
12:45-13:15,FE-2,EMU cooling loop scrub (start),,,,,,,
13:15-13:20,On MCC Go ISS repress from Progress 363 СрПК (start),,,,,,,,
13:20-14:20,,LUNCH,,,,,,,
14:20-14:45,CDR,CSA-O2 Calibration,,,,,,,
14:20-14:25,FE-2,ISS repress from Progress 363 СрПК (terminate),,,,,,,
14:25-14:30,OUM (Oxygen Uptake Measurement) - (PFE) Periodic Fitness Evaluation Laptoppower down,,,,,,,,
14:30-15:00,MELFI Stage 1J/A Icepac Insertion 1,,,,,,,,
14:35-15:05,FE-1,Elektron-VM EDV [KOB] water sampling to drink bag,,,,,,,
14:45-14:50,CDR,Stow video equipment used to film PFE,,,,,,,
14:50-15:15,Fine Adjustment of the Lab Aft Port RMO actuator,,,,,,,,
GMT,,CREW,,ACTIVITY,,,,,
06:10-06:30,,CDR,,Audio Dosimeter Preparation,,,,,
06:10-06:20,,"FE-2, ISS-17",,Morning Inspection,,,,,
,,,,"KAP07. Temperature monitoring, removal of samples A,B,C, and",,,,,
,06:10-06:25,,SFPVC,,,,,,
,,,,,"installation of samples D,E,F",,,,
,,,,,,,,,
06:10-06:25,,FE-1,,"KAP07. Video of activities involving samples D,E,F",,,,,
06:20-06:50,,"ISS-17, FE-2",,Post-sleep,,,,,
06:25-06:55,,FE-1,,Post-sleep,,,,,
,06:25-06:30,,SFPVC,,KAP08. Temperature check and deactivation of oven with installed sample,,,,
,06:30-07:00,,"SFPVC, CDR",,Post-sleep,,,,
06:50-07:40,,"ISS-17, FE-2",,BREAKFAST,,,,,
06:55-07:45,,FE-1,,BREAKFAST,,,,,
07:00-07:50,,CDR,,BREAKFAST,,,,,
,07:00-07:50,,SFPVC,,BREAKFAST + КАР06,,,,
07:40-08:10,,"ISS-17, FE-2",,Prep for Work,,,,,
07:45-08:10,,FE-1,,Prep for Work,,,,,
07:50-08:10,,CDR,,Prep for Work,,,,,
,07:50-08:05,,SFPVC,,Prep for Work,,,,
,08:05-08:15,,SFPVC,,KAP09. Equipment deactivation and questionnaire,,,,
08:10-08:25,,"ISS-16, ISS-17",,Daily Planning Conference (S-band),,,,,
,08:15-08:45,,SFPVC,,KAP02. Daily ops - morning (monitoring and video recording),,,,
08:25-10:25,,FE-2,,EHS. Water sample,,,,,
08:25-08:30,,CDR,,Retrieval of water sampling kit and familiarization with the kit and referencematerials,,,,,
08:25-11:05,,"FE-1, ISS-17",,"ISS16/ISS17 crew handover(EVA, IVA, hatches, windows, Progress cargotransfer status, TORU)",,,,,
08:30-09:35,,CDR,,ATV Water Supply System - water sample,,,,,
,08:45-09:15,,SFPVC,,"KAP01. Daily Ops (monitoring, photography, questionnaire)",,,,
,09:15-09:25,,SFPVC,,Telephone conference with Korean radio station via VHF1,,,,
,09:25-09:30,,SFPVC,,KAP07. First temperature check,,,,
,09:30-09:50,,SFPVC,,KAP09. Equipment removal from window 9,,,,
09:35-09:45,,CDR,,Terminate EMU Metox Regeneration,,,,,
09:45-10:45,,CDR,,Physical Exercise (TVIS),,,,,
10:25-10:35,,FE-2,,EHS. Water sampling closeout ops,,,,,
10:45-11:45,,CDR,,Physical Exercise (CEVIS),,,,,
,10:50-11:05,,SFPVC,,VC14 HAM radio session,,,,
11:05-11:25,,"ISS-17, FE-1",,"Pressurize Elektron БЖ10056 using spares  (00043725R,ФГБ1ПГО_1_108)",,,,,
,11:20-11:25,,SFPVC,,KAP07. Second temperature check,,,,
11:25-11:45,,"FE-1, ISS-17",,Pressurizing Elektron Liquid Unit,,,,,
11:40-13:10,,FE-2,,Physical Exercise (RED),,,,,
11:45-12:45,,FE-1,,LBNP Exercise (PRELIMINARY). То=12:16 Tagup w/ specialists (VHF),,,,,
11:50-12:45,,CDR (пом),,,,,,,
,11:50-12:00,,SFPVC,,KAP12. Memory prep and test 1,,,,
GMT,CREW,ACTIVITY,,,,,,,
06:00-06:20,CDR,Nutrition: urine collection,,,,,,,
06:00-06:10,"FE-1, FE-2",Morning Inspection,,,,,,,
06:10-06:30,FE-2,Post-sleep,,,,,,,
06:10-06:40,FE-1,,,,,,,,
06:20-06:30,CDR,Nutrition: urine sample 1 insertion in MELFI,,,,,,,
06:30-06:45,FE-2,Nutrition: blood sample collection for analysis,,,,,,,
06:30-06:50,CDR-operator,NUTR/REP - blood draw,,,,,,,
06:40-07:30,FE-1,BREAKFAST,,,,,,,
06:45-06:55,FE-2,Post-sleep,,,,,,,
06:50-07:00,CDR,Nutrition: setting up and loading refrigerated centrifuge,,,,,,,
06:55-07:45,FE-2,BREAKFAST,,,,,,,
07:00-07:10,CDR,Nutrition: refrigerator centrifuge config,,,,,,,
07:10-07:40,Post-sleep,,,,,,,,
