0,1,2,3,4,5,6,7,8,9,10,11
ISS CDR,,,,SLEEP,,,,,,,
I,,,,,,,,,,,
S FE-1,,,,SLEEP,,,,,,,
S,,,,,,,,,,,
FE-2,,,,SLEEP,,,,,,,
КИ-1,,,,SLEEP,,,,,,,
S,,,,,,,,,,,
O,,,,,,,,,,,
Y КИ-2,,,,SLEEP,,,,,,,
U,,,,,,,,,,,
Z,,,,,,,,,,,
КИ-3,,,,SLEEP,,,,,,,
K OCA-MAIL-SYNC,,,,OCA-MAIL-SYNC,,,,,,,
u EXE-PKG U/L,,,,,,,,,,,
S CHECS-DATA-D/L,,,,,,,,,,,
B S-BD-KEY-CHG,,,,S-BD-KEY-CHG,,,,,,,
D,,,,,,,,,,,
S,,,,,,,,,,,
Y,,,,,,,,,,,
S,,,,,,,,,,,
BONNER BALL CLCT,,,,,,,,,,,
CGBA PROCESSING,,,,,,,,,,,
CPCG-H CRYSTAL GRWTH,,,,,,,,,,,
P DOSMAP DATA CLCT,,,,,,,,,,,
L EXPRESS RACK 1 OPS,,,,,,,,,,,
PCG-STES 010 PWR,,,,,,,,,,,
PCG-STES 009 GROWTH,,,,,,,,,,,
EARTHKAM OPERATION,,,,,,,,,,,
R,,,,,,,,,,,
S,,,,,,,,,,,
NOTES,,,,,,,,,,,
,,,,,,,,,,,
GMT,Crew,Activity / ODF or R/G,,,,,,,,,
06:00–06:10,,Morning inspection,,,,,,,,,
06:10–06:40,,Personal hygiene (post-sleep),,,,,,,,,
06:40–07:30,,BREAKFAST,,,,,,,,,
07:30–08:00,,Work prep,,,,,,,,,
08:00–08:15,,Daily planning conference,,,,,,,,,
08:15–11:50,CDR,"Maintenance of FGB ventilation system (fans stay switched on) / RODF ? ?  ? ??/item 5.2.2, item 5.2.3, pages 5-9 to 5-10",,,,,,,,,
08:15–08:30,FE-2,Daily maintenance of SSC,,,,,,,,,
08:30–10:30,"FE-1, FE-2",Removal and replacement of TVIS plates,,,,,,,,,
10:30–10:55,FE-2,Checking on LAB payloads,,,,,,,,,
10:30–11:10,FE-1,Interactions Experiment: data collection / NTXN - Interactions: Nominals: HRFInteractions Experiment Operations/ (Perform steps 1.2 - 7.,,,,,,,,,
11:00–12:30,FE-2,Physical exercise (active rest),,,,,,,,,
11:15–11:30,CDR,????? ?  (Hurricane): Earth observations / r/g,,,,,,,,,
11:30–12:30,FE-1,Physical exercise (active rest),,,,,,,,,
12:00–13:00,CDR,LUNCH,,,,,,,,,
12:30–13:30,"FE-1, FE-2",LUNCH,,,,,,,,,
13:00–14:30,CDR,"Maintenance of FGB ventilation system / RODF ? ?  ? ??, it. 5.2.4, pg. 5-10 to 5-11",,,,,,,,,
13:30–16:30,"FE-1, FE-2",Removal and replacement of TVIS plates,,,,,,,,,
14:30–14:40,CDR,Private medical conference,,,,,,,,,
14:55–15:35,CDR,Interactions Experiment: data collection / NTXN - Interactions: Nominals: HRFInteractions Experiment Operations/ (Perform steps 1.2 - 7.,,,,,,,,,
15:35–16:15,CDR,"Maintenance of ? ? ?  (changeout of CWC in Elektron, ???-?, and ???-C? onMCC GO) / r/g",,,,,,,,,
16:15–17:15,CDR,Physical exercise (cycle),,,,,,,,,
16:30–16:45,FE-2,Monthly maintenance of CEVIS / Integrated Medical Group: Med Ops: Nominal:CMS,,,,,,,,,
16:30–16:45,FE-1,HMS-PMC / this conference may be conducted via OCA or A/G,,,,,,,,,
16:45–17:00,FE-2,HMS-PMC / this conference may be conducted via OCA or A/G,,,,,,,,,
16:45–18:15,FE-1,Physical exercise (active rest),,,,,,,,,
17:15–18:15,FE-2,Physical exercise (active rest),,,,,,,,,
17:15–18:15,CDR,Physical exercise (RED),,,,,,,,,
18:15–18:45,,Review plan for the next day,,,,,,,,,
18:45–19:15,,Report prep,,,,,,,,,
19:15–19:30,,Daily planning conference,,,,,,,,,
19:30–20:00,,Dinner,,,,,,,,,
20:00–20:30,,Daily food ration prep,,,,,,,,,
20:30–21:30,,Personal hygiene (pre-sleep),,,,,,,,,
21:30–06:00,,SLEEP,,,,,,,,,
TIME,CREW,ACTIVITY / Procedure or R/G,,,,,,,,,
06:00-06:10,,Morning inspection,,,,,,,,,
06:10-06:40,,Post-sleep,,,,,,,,,
06:40-06:50,FE-1,"?? -8. Preliminary operations. Med Ops, vol.2 / par.3.8.1/pages3-42through 3-44",,,,,,,,,
06:50-07:05,FE -1,"?? -8 / Med Ops, vol.2 / par.3.8.2/ pages3-45 through 3-47,",,,,,,,,,
06:55-07:05,FE -2,"?? -7 / Med Ops, vol.2/ ?.3.7 / ?? ?.3-37",,,,,,,,,
07:05-07:20,CDR,"?? -8 / Body mass measurement. Med Ops, vol.2/ par.3.8.2/ pages 3-45 through 3-47",,,,,,,,,
07:05-07:15,FE -1,"?? -7 / Med Ops, vol.2/ par 3.7/ p. 3-37",,,,,,,,,
07:20-07:35,FE -2,"?? -8 / Med Ops, vol.2/ par.3.8.2/ pages 3-45 through 3-47",,,,,,,,,
07:20-07:30,CDR,"?? -7 / Leg volume measurement. Med Ops, vol.2/ par.3.7/ p.3-37",,,,,,,,,
07:35-07:45,FE -1,"?? -8. Final Operations. Med Ops, vol.2/ par.3.8.3/ p.3-48",,,,,,,,,
07:35-08:25,"CDR, FE -2",Breakfast,,,,,,,,,
07:45-08:35,FE -1,,,,,,,,,,
08:25-08:45,"CDR, FE -2",Work prep,,,,,,,,,
08:35-08:45,FE -1,Work prep,,,,,,,,,
08:45-09:00,,Daily planning conference,,,,,,,,,
09:00-10:30,"CDR, FE -2",Progress ?1-6 unloading using IMS / Progress loading/unloading +R/G,,,,,,,,,
09:00-10:00,FE -1,Progress ?1-6 unloading using IMS / Progress loading/unloading +R/G,,,,,,,,,
10:00-11:30,FE -1,EXERCISE-RED,,,,,,,,,
10:30-10:40,FE -2,"Activation of. ? ? ? ?for PCG-STES10 experiment, cylinder 8 PCGSTES - SINGLE LOCKER THERMAL ENCLOSURE : Activation &Ch",,,,,,,,,
10:30-11:30,CDR,EXERCISE-TVIS / (1 day T/L),,,,,,,,,
10:40-11:00,FE -2,Delta file prep for downlink,,,,,,,,,
11:00-12:00,FE -2,EXERCISE-TVIS,,,,,,,,,
11:30-12:00,CDR,EXERCISE - RED,,,,,,,,,
12:00-13:00,,Lunch,,,,,,,,,
13:00-16:45,,Progress ?1-6 unloading using IMS / Progress loading/unloading +R/G,,,,,,,,,
16:45-17:15,CDR,? ? ?maintenance per MCC instructions,,,,,,,,,
16:45-18:15,FE -2,EXERCISE-RED,,,,,,,,,
16:45-17:10,FE -1,LAB Payload Status Check,,,,,,,,,
17:15-18:15,CDR,EXERCISE-TVIS / (1 day T/L),,,,,,,,,
17:15-18:15,FE -1,EXERCISE-CEVIS,,,,,,,,,
18:15-18:45,,Report preparation,,,,,,,,,
18:45-19:15,,Familiarization with the next day’s flight plan,,,,,,,,,
19:15-19:30,,Daily planning conference,,,,,,,,,
19:30-20:00,,Diner,,,,,,,,,
20:00-20:30,,Daily food ration prep,,,,,,,,,
20:30-21:30,,Pre-sleep,,,,,,,,,
21:30-06:00,,SLEEP,,,,,,,,,
GMT,Crew,Activity / ODF or R/G,,,,,,,,,
06:00 - 06:10,.,Morning inspection,,,,,,,,,
06:10 - 06:40,.,Post sleep,,,,,,,,,
06:40 - 07:30,.,Breakfast,,,,,,,,,
07:30 - 08:00,.,Work prep.,,,,,,,,,
08:00 - 08:15,.,Daily planning conference,,,,,,,,,
08:15 - 08:45,CDR,ISS cargo inventory / r/g 1156,,,,,,,,,
08:15 - 11:30,FE-2,ISS cargo inventory / r/g 1156,,,,,,,,,
08:25 - 09:05,FE-1,"Prepare dosimeter data for downlink, recharge MDU dosimeters",,,,,,,,,
08:45 - 09:00,CDR,"URAGAN photoimagery / r/g 1126, Note 2",,,,,,,,,
09:00 - 10:05,CDR,ISS cargo inventory / r/g 1156,,,,,,,,,
09:05 - 09:25,FE-1,"Dosmap Dostel, change mode 1 to mode 2",,,,,,,,,
09:30 - 09:55,FE-1,Check payload equipment in LAB,,,,,,,,,
09:55 - 10:05,FE-1,Prepare 35mm ADVSC HISD camera,,,,,,,,,
10:05 - 10:20,FE-1,ADVASC. Imagery using 35 mm camera,,,,,,,,,
10:05 - 10:35,CDR,DIATOMEYA. / r/g 1153,,,,,,,,,
10:35 - 11:45,CDR,ISS cargo inventory / r/g 1156,,,,,,,,,
10:40 - 10:55,FE-1,Periodic inspection of RED exercise device,,,,,,,,,
10:55 - 12:25,FE-1,Physical exercise (active rest),,,,,,,,,
11:25 - 11:30,FE-2,Weekly TVIS check,,,,,,,,,
11:30 - 12:30,FE-2,Physical exercise (active rest),,,,,,,,,
11:50 - 12:30,CDR,? ? ?  maintenance on MCC go,,,,,,,,,
12:25 - 12:30,FE-1,Weekly TVIS check,,,,,,,,,
12:30 - 13:30,.,LUNCH,,,,,,,,,
13:30 - 14:00,CDR,Transfer LOG-files from SM Laptop / r/g 1122,,,,,,,,,
13:30 - 14:00,FE-1,Transfer Dosmap Dostel to HRF computer for subsequent downlink,,,,,,,,,
13:40 - 14:00,FE-2,Prepare Delta file for downlink,,,,,,,,,
14:00 - 15:45,CDR,ISS cargo inventory / r/g 1156,,,,,,,,,
14:00 - 16:45,FE-2,Load software (? ? ? ) onto SSC for stage 6?  operations.,,,,,,,,,
14:15 - 15:15,FE-1,"Activate EARTHKAM equipment/ INC2_US_SODF: CSG: ISS Photo/TV: FlightSpecific: Scenes: P/TV 113 EARTHKAM,  step7, to deactivate EARTHKAM;steps.5,6 after loading software onto SSC",,,,,,,,,
15:15 - 15:45,FE-1,"Dehumidify heat exchanger/ INC2_US_SODF: ECG: ECLSS: Nominal: EHC:2.505 CCAA, dehumidify heat exchanger, steps 1,3, and 8",,,,,,,,,
15:45 - 16:25,FE-1,Transfer Dosmap Dostel-1 data to HRF computer for subsequent downlink,,,,,,,,,
15:45 - 16:45,CDR,Physical exercise (RED  - 1),,,,,,,,,
16:25 - 17:25,FE-1,Repair TVIS,,,,,,,,,
16:45 - 17:45,CDR,Physical exercise (CYCLE ERGOMETER – 1),,,,,,,,,
16:45 - 18:15,FE-2,Physical exercise (active rest),,,,,,,,,
17:25 - 18:25,FE-1,Physical exercise (TVIS),,,,,,,,,
18:15 - 18:45,"CDR,FE-2",Review plan for the next day,,,,,,,,,
18:25 - 18:45,FE-1,,,,,,,,,,
18:45 - 19:15,.,Work prep.,,,,,,,,,
19:15 - 19:30,.,Daily planning conference,,,,,,,,,
19:30 - 20:00,.,Dinner,,,,,,,,,
20:00 - 20:30,.,Daily food ration prep,,,,,,,,,
20:30 - 21:30,.,Pre-sleep,,,,,,,,,
21:30 - 06:00,.,SLEEP,,,,,,,,,
GMT,Crew,Activity / ODF or R/G,,,,,,,,,
06:00–06:10,,Morning inspection,,,,,,,,,
06:10–06:40,,Personal hygiene (post-sleep),,,,,,,,,
06:40–07:30,,BREAKFAST,,,,,,,,,
07:30–07:40,,Work prep,,,,,,,,,
07:40–07:55,,Daily planning conference,,,,,,,,,
07:55–08:15,,Work prep,,,,,,,,,
08:15–08:30,FE-2,Daily maintenance of SSC,,,,,,,,,
08:15–08:25,CDR,"Charging camcorder battery / RODF ???, page 2-2, item 2.2",,,,,,,,,
08:15–08:30,FE-1,Transfer of TORSO TEPC data to HRF PC / TORSO - Phantom TORSO:Nominals: TORSO Setup and Activate Part 2 step 3,,,,,,,,,
08:25–09:20,CDR,IMS ops / r/g 1135,,,,,,,,,
08:30–08:45,FE-1,Review of ADVASC cable configuration procedure,,,,,,,,,
08:45–09:15,FE-1,ADVASC cable connections / ADVASC - Advanced Astoculture: Nominals:ADVASC Cable Connections,,,,,,,,,
08:55–09:05,FE-2,Activation of protein crystal growth unit / OCA_3223,,,,,,,,,
09:05–09:30,FE-2,LAB payload status monitoring,,,,,,,,,
09:15–09:30,FE-1,ADVASC activation / ADVASC - Advanced Astroculture: Nominals: ADVASCActivation,,,,,,,,,
09:20–09:35,CDR,????? ?  (Hurricane): Earth observations / r/g 1126,,,,,,,,,
09:30–11:00,"FE-1, FE-2",RWS ops,,,,,,,,,
09:35–11:25,CDR,IMS ops / r/g 1135,,,,,,,,,
11:00–11:20,FE-2,Prep delta file for downlink,,,,,,,,,
11:00–12:30,FE-1,Physical exercise (active rest),,,,,,,,,
11:20–11:30,FE-2,Plant growth monitoring / ADVASC - Advanced Astroculture: Nominals: ADVASCStatus Monitoring,,,,,,,,,
11:25–11:55,CDR,DIATOMEA: World Ocean observations / r/g 1136,,,,,,,,,
11:30–12:30,FE-2,Physical exercise (active rest),,,,,,,,,
12:00–12:30,CDR,"Sound Level Meter: review of measurement plans and conference with groundexperts / MO Vol. 1, item 11.1, pages 11-3 - 11-10 + r/g 1132",,,,,,,,,
12:30–13:30,,LUNCH,,,,,,,,,
13:30–16:50,"FE-1, FE-2",Test of SSRMS,,,,,,,,,
13:30–14:35,CDR,IMS ops / r/g 1135,,,,,,,,,
14:35–14:50,CDR,Observations of sunset afterglow / r/g 1130,,,,,,,,,
15:20–16:00,CDR,Maintenance of ? ? ?  per MCC GO,,,,,,,,,
16:00–16:25,CDR,Videotaping of sunset afterglow / r/g 1130,,,,,,,,,
16:25–18:25,CDR,Physical exercise (active rest),,,,,,,,,
16:50–17:05,FE-1,Prep TORSO data for downlink & disconnect cables / TORSO - PhantomTORSO: Nominals: TORSO Setup and Activate Part 2 step 4,,,,,,,,,
16:55–18:25,FE-2,Physical exercise (active rest),,,,,,,,,
17:05–17:20,FE-1,Transfer of TORSO data to HRF PC / TORSO - Phantom TORSO: Nominals:TORSO Setup and Activate Part 2 step 5,,,,,,,,,
17:25–18:25,FE-1,Physical exercise (active rest),,,,,,,,,
18:25–18:55,,Review plan for the next day,,,,,,,,,
18:55–19:05,,Work prep,,,,,,,,,
19:05–19:20,,Daily planning conference,,,,,,,,,
19:20–19:30,,Work prep,,,,,,,,,
19:30–20:00,,DINNER,,,,,,,,,
20:00–20:30,,Daily food ration prep,,,,,,,,,
20:30–21:30,,Personal hygiene (pre-sleep),,,,,,,,,
21:30–06:00,,SLEEP,,,,,,,,,
GMT,Crew,Activity / ODF or R/G,,,,,,,,,
06:00–06:10,,Morning inspection,,,,,,,,,
06:10–06:40,,Personal hygiene (post-sleep),,,,,,,,,
06:40–07:30,,BREAKFAST,,,,,,,,,
07:30–08:00,,Work prep,,,,,,,,,
08:00–08:15,,Daily planning conference,,,,,,,,,
08:15–08:40,FE-1,LAB payload status monitoring,,,,,,,,,
08:15–09:00,FE-2,MEC s/w loading /? ? ?  _2948,,,,,,,,,
08:15–08:25,CDR,Inspection of ????-1 separator,,,,,,,,,
08:45–09:30,FE-1,Video survey of TVIS/? ? ?  _2923,,,,,,,,,
08:45–09:00,CDR,????? ?  (Hurricane): Earth observations / r/g 1126,,,,,,,,,
09:00-09:15,FE-2,Swapping of PC MIA MEC card / Integrated Medical Group:Med OpsNominal:CMS:TVIS Protocol Swap,,,,,,,,,
09:15–10:15,FE-2,Physical exercise (TVIS) / OCA _2924,,,,,,,,,
09:30–11:15,FE-1,Physical exercise (IRED),,,,,,,,,
10:20–10:35,CDR,????? ?  (Hurricane): Earth observations / r/g 1126,,,,,,,,,
10:15–10:45,FE-2,Transfer of TVIS exercise data to MEC / Integrated Medical Group:Med OpsNominal:CMS:MEC-Exercise Data Downlink,,,,,,,,,
12:00–13:00,,LUNCH,,,,,,,,,
14:45–16:15,FE-2,Physical exercise (IRED),,,,,,,,,
15:35–16:15,CDR,"Maintenance of ? ? ?  per MCC GO (changeout of CWC in Electron, ???-?,???-C?)",,,,,,,,,
16:00-17:00,FE-1,Physical exercise (TVIS),,,,,,,,,
16:15–17:15,CDR,Physical exercise (RED-3),,,,,,,,,
16:45–17:05,FE-2,IMS file prep,,,,,,,,,
17:00–17:20,FE-1,Test of SSRMS computer display,,,,,,,,,
17:15–18:15,CDR,Physical exercise (cycle-3),,,,,,,,,
18:15–18:45,,Review plan for the next day,,,,,,,,,
18:45–19:00,,Work prep,,,,,,,,,
19:00–19:15,,Daily planning conference,,,,,,,,,
19:15–19:30,,Work prep,,,,,,,,,
19:30–20:00,,DINNER,,,,,,,,,
20:00–20:30,,Daily food ration prep,,,,,,,,,
20:30–21:30,,Personal hygiene (pre-sleep),,,,,,,,,
21:30–06:00,,SLEEP,,,,,,,,,
GMT,Crew,Activity / ODF or R/G,,,,,,,,,
06:00–06:10,,Morning inspection,,,,,,,,,
06:10–06:40,,Personal hygiene (post-sleep),,,,,,,,,
06:40–07:30,,BREAKFAST,,,,,,,,,
07:30–07:45,CDR,Private psychological conference,,,,,,,,,
08:00–08:15,,Daily planning conference (morning),,,,,,,,,
08:15–08:25,CDR,Inspection of ????-1 separator,,,,,,,,,
08:25–09:05,CDR,Maintenance of ? ? ?  per MCC GO,,,,,,,,,
09:00–11:00,FE-2,Weekly station cleanup,,,,,,,,,
09:05–09:20,CDR,????? ?  (Hurricane): Earth observations and photography / r/g 1126,,,,,,,,,
09:20–11:20,"CDR, FE-1","Weekly station cleanup / ? ??  ? ?  ??.1, item 2.2.1, page 2-2",,,,,,,,,
11:00–12:30,FE-2,Physical exercise (USOS plan),,,,,,,,,
11:30–12:30,FE-1,Physical exercise (USOS plan),,,,,,,,,
12:30–13:30,,LUNCH,,,,,,,,,
14:00–14:30,,WEEKLY PLANNING CONFERENCE,,,,,,,,,
15:30–16:30,FE-2,Physical exercise (USOS plan),,,,,,,,,
15:30–17:00,FE-1,Physical exercise (USOS plan),,,,,,,,,
16:00–17:00,CDR,Physical exercise (cycle-2),,,,,,,,,
17:00–18:00,CDR,Physical exercise (RED-2),,,,,,,,,
18:00–18:10,CDR,"Charging camcorder battery / RODF ???  ? ? , page 2-2, item 2.2",,,,,,,,,
18:44–19:02,,ISS2/ISS3 crew conference via S-band,,,,,,,,,
19:15–19:30,,Daily planning conference (evening),,,,,,,,,
19:30–20:00,,DINNER,,,,,,,,,
20:00–20:30,,Daily food ration prep,,,,,,,,,
20:30–21:30,,Personal hygiene (pre-sleep),,,,,,,,,
21:30–06:00,,SLEEP,,,,,,,,,
GMT,Crew,Activity / ODF or R/G,,,,,,,,,
06:00–06:10,,Morning inspection,,,,,,,,,
06:10–06:40,"CDR, FE-1, FE-2,CR-1, CR-3",Personal hygiene (post-sleep),,,,,,,,,
06:10–06:30,CR-2,PLASMA CRYSTAL-3: payload setup / r/g 1093,,,,,,,,,
06:30–06:40,CR-2,Personal hygiene (post-sleep),,,,,,,,,
06:40–07:10,,BREAKFAST,,,,,,,,,
07:10–07:50,,"PAO TV event (press conference) / RODF ???, item 2.4, pg. 2-5, 2-6",,,,,,,,,
07:50–08:05,"CDR, FE-1, FE-2,CR-1, CR-3",Daily planning conference (morning),,,,,,,,,
07:50–08:45,CR-2,PLASMA CRYSTAL-3: ??? and computer ops / r/g 1093,,,,,,,,,
08:05–08:45,FE-1,Maintenance of ? ? ?,,,,,,,,,
08:05–10:50,FE-2,Cargo stowage (post-6?),,,,,,,,,
08:05–08:40,CDR,"Replacement of cartridges in dust filters ? ? 1-4 in SM / RODF ? ? ??,item 4.5.1, page 4-8",,,,,,,,,
08:40–08:55,CDR,????? ?  (Hurricane): observations and photography / r/g 1084,,,,,,,,,
08:45–08:55,FE-1,Setup of DOSMAP,,,,,,,,,
08:45–10:10,CR-2,PLASMA CRYSTAL-3: payload ops/ r/g 1093,,,,,,,,,
08:45–09:05,CR-1,PLASMA CRYSTAL-3: photography / r/g 1093,,,,,,,,,
08:55–11:20,FE-1,Cargo stowage (post-6?),,,,,,,,,
09:10–09:40,CDR,"Collection of water samples from ???-?2?  / RODF ? ? ? , item 2.1.11.2,page 2-8",,,,,,,,,
09:30–12:20,CR-3,"Symbolical activity, amateur videotaping and photography",,,,,,,,,
09:40–11:40,CDR,Physical exercise (RED + cycle),,,,,,,,,
10:10–11:20,CR-1,"Pre-departure test of Soyuz ??? / RODF ? ? ? ? ?????? ?  ? ? ? ? ?,item 20, pages 89 through 91 + r/g 1092",,,,,,,,,
10:10–10:45,CR-2,PLASMA CRYSTAL-3: concluding ops / r/g,,,,,,,,,
10:45–11:35,CR-2,"PLASMA CRYSTAL-3: transfer of data from HD, stowage",,,,,,,,,
10:50–12:20,FE-2,Physical exercise,,,,,,,,,
11:20–12:20,FE-1,Physical exercise,,,,,,,,,
11:35–11:55,"CR-1, CR-2",DIATOMEA / r/g 1088,,,,,,,,,
11:40–12:20,CDR,Replacement of ???  unit in ????-2?  / r/g 1096,,,,,,,,,
11:57–12:05,"CR-1, CR-2",Private medical conference,,,,,,,,,
12:20–13:50,"CR-1, CR-2, CR-3",LUNCH,,,,,,,,,
12:20–13:20,"CDR, FE-1, FE-2",LUNCH,,,,,,,,,
13:20–13:45,"CDR, FE-1, FE-2",Crew/flight director conference,,,,,,,,,
13:45–14:30,"FE-1, FE-2",Filling of CWC / ECG: ECLSS: NOMINAL WRM: 2.701 USOS TO RSWATER OPS,,,,,,,,,
13:50–16:20,CR-3,"Symbolical activity, amateur videotaping and photography",,,,,,,,,
13:50–14:00,"CR-1, CR-2",????????? (DASTARKHAN) / r/g 1054,,,,,,,,,
13:50–14:30,CDR,"Monitoring of cabin micro ecosphere / RODF MO, Vol. 2, items 4.1.2.1 to4.1.2.3, pages 4-3 to 4-6",,,,,,,,,
14:10–14:30,"CR-1, CR-2",?????? (Vzgliad) / r/g 1052,,,,,,,,,
14:30–16:30,"CR-1, CR-2",Review of departure/landing timeline / RODF ?? ???????  ?  ??????.4 ?? 12 ?? ?. 59 ?? 98,,,,,,,,,
14:30–16:30,CDR,Removal of ??? (??251? ?) from Soyuz orbital compartment / r/g 1090,,,,,,,,,
15:15–15:55,FE-1,Collection of INTERACTION data,,,,,,,,,
15:15–16:55,FE-2,Cargo stowage (post-6?),,,,,,,,,
15:55–16:45,FE-1,,,,,,,,,,
16:30–17:45,"CDR, CR-1, CR-2,CR-3","Pack return items / RODF ? ???????? ? ? ?? ?????? , item 20.4, pages146-147, item 21, pages 149-155 + r/g 1099, 1100",,,,,,,,,
16:45–18:15,FE-1,Physical exercise,,,,,,,,,
16:55–17:15,FE-2,Monitoring payloads in LAB,,,,,,,,,
17:15–18:15,FE-2,Physical exercise,,,,,,,,,
17:45–18:15,"CR-1, CR-2",PLASMA CRYSTAL-3: dismantle hardware / r/g 1093,,,,,,,,,
17:45–17:55,CDR,"Charging camcorder batteries / RODF ??? ? ? , page 2-2, item 2.2",,,,,,,,,
18:15–18:45,,Report prep,,,,,,,,,
18:45–19:15,,Review plan for the next day,,,,,,,,,
19:15–19:30,,Daily planning conference (evening),,,,,,,,,
19:30–20:00,,DINNER,,,,,,,,,
20:00–20:30,,Daily food ration prep,,,,,,,,,
20:30–21:30,,Personal hygiene (pre-sleep),,,,,,,,,
21:30,,SLEEP,,,,,,,,,
GMT,CREW,ACTIVITY / ODF or R/G,,,,,,,,,
06:00 - 06:10,.,Morning inspection,,,,,,,,,
06:10 - 06:40,.,Post-sleep,,,,,,,,,
06:40 - 07:30,.,Breakfast,,,,,,,,,
08:00 - 08:15,.,Morning planning conference via S-Band,,,,,,,,,
08:15 - 10:15,.,"Weekly station housekeeping / MO, Book1, par. 2.2.1, p. 2-2",,,,,,,,,
10:15 - 10:40,FE-1,Payload checkout in the LAB,,,,,,,,,
10:15 - 11:45,FE-2,Physical exercise with IRED,,,,,,,,,
10:15 - 10:55,CDR,? ? ?  maintenance per MCC instructions,,,,,,,,,
10:55 - 11:25,CDR,Review of configuration for Regul-packet link per R/G 1185,,,,,,,,,
11:25 - 11:55,CDR,RED – 2 physical exercise,,,,,,,,,
11:30 - 12:30,FE -1,TVIS physical exercise,,,,,,,,,
11:55 - 12:25,CDR,Cycloergometer – 2 physical exercise,,,,,,,,,
12:30 - 13:30,.,LUNCH,,,,,,,,,
13:00 - 13:15,FE -1,Family conference,,,,,,,,,
13:30 - 14:00,.,Weekly planning conference via S-Band,,,,,,,,,
16:00 - 17:30,CDR,TVIS – 2 physical exercise,,,,,,,,,
17:00 - 18:30,FE -1,IRED physical exercise,,,,,,,,,
17:30 - 18:30,FE -2,CEVIS physical exercise,,,,,,,,,
19:30 - 20:00,.,Dinner,,,,,,,,,
20:00 - 20:30,.,Daily food prep,,,,,,,,,
20:30 - 21:30,.,Pre-sleep,,,,,,,,,
21:30,.,SLEEP,,,,,,,,,
GMT,Crew,Activity / ODF or R/G,,,,,,,,,
06:00–06:10,,Morning inspection,,,,,,,,,
06:10–06:40,,Personal hygiene (post-sleep),,,,,,,,,
06:40–07:30,,BREAKFAST,,,,,,,,,
07:45–08:20,FE-1,LAB payload status monitoring,,,,,,,,,
08:05–08:20,CDR,????? ?  (Hurricane): Earth observations and photography / r/g  ?=08.05-08.20,,,,,,,,,
08:20–08:30,CDR,Downlink of ???  and ? ?  counter data,,,,,,,,,
08:30–09:10,CDR,Maintenance of ? ? ?  per MCC GO,,,,,,,,,
12:30–13:30,,LUNCH,,,,,,,,,
15:25–15:40,FE-1,PRIVATE FAMILY CONFERENCE,,,,,,,,,
15:40–15:55,FE-2,PRIVATE FAMILY CONFERENCE,,,,,,,,,
18:45–18:55,CDR,PRIVATE FAMILY CONFERENCE,,,,,,,,,
18:45–19:15,"FE-1, FE-2",Review plan for the next day,,,,,,,,,
18:55–19:15,CDR,,,,,,,,,,
19:15–19:30,,Daily planning conference (evening),,,,,,,,,
19:30–20:00,,DINNER,,,,,,,,,
20:00–20:30,,Daily food ration prep,,,,,,,,,
20:30–21:30,,Personal hygiene (pre-sleep),,,,,,,,,
21:30–06:00,,SLEEP,,,,,,,,,
GMT,Crew,Activity / ODF or R/G,,,,,,,,,
06:00–06:10,,Morning inspection,,,,,,,,,
06:10–06:40,,Personal hygiene (post-sleep),,,,,,,,,
06:40–07:30,,BREAKFAST,,,,,,,,,
08:00–08:40,CDR,Maintenance of ? ? ?  per MCC GO,,,,,,,,,
08:15–08:40,FE-1,LAB payload status monitoring,,,,,,,,,
12:30–13:30,,LUNCH,,,,,,,,,
15:15–15:25,CDR,Downlink of ???  and ? ?  counter data,,,,,,,,,
15:35–15:50,FE-2,Private family conference,,,,,,,,,
16:46–17:01,CDR,Private family conference,,,,,,,,,
18:45–19:15,,Review plan for the next day,,,,,,,,,
19:15–19:30,,Daily planning conference (evening),,,,,,,,,
19:30–20:00,,DINNER,,,,,,,,,
20:00–21:00,,Personal hygiene (pre-sleep),,,,,,,,,
21:00–21:30,,Daily food ration prep,,,,,,,,,
21:30–06:00,,SLEEP,,,,,,,,,
GMT,Crew,Activity / ODF or R/G,,,,,,,,,
09:30–09:40,,Morning inspection,,,,,,,,,
09:40–10:05,CDR,Personal hygiene (post-sleep),,,,,,,,,
09:40–10:10,"FE-1, FE-2",,,,,,,,,,
10:05–10:20,CDR,PRIVATE FAMILY CONFERENCE,,,,,,,,,
10:10–11:00,"FE-1, FE-2",BREAKFAST,,,,,,,,,
10:20–11:00,CDR,,,,,,,,,,
11:40–11:50,CDR,Downlink of ???  and ? ?  counter data,,,,,,,,,
11:50–12:00,CDR,Inspection of ????-1 separator,,,,,,,,,
11:55–12:15,FE-1,Checking on LAB payloads,,,,,,,,,
12:00–12:40,CDR,"Maintenance of ? ? ?  on MCC GO (changeout of CWC, ???-?, ???-C?)",,,,,,,,,
13:00–13:15,FE-2,PRIVATE PSYCHOLOGICAL CONFERENCE,,,,,,,,,
14:30–14:45,FE-1,,,,,,,,,,
15:15–15:30,FE-1,PRIVATE FAMILY CONFERENCE,,,,,,,,,
15:30–16:30,,LUNCH,,,,,,,,,
18:00–18:15,FE-2,PRIVATE FAMILY CONFERENCE,,,,,,,,,
19:30–20:00,,Dinner,,,,,,,,,
20:00–20:30,,Daily food ration prep,,,,,,,,,
20:30–21:30,,Personal hygiene (pre-sleep),,,,,,,,,
