0,1,2,3
16:00-17:00,FE-2,Life on Station Photo and Video,
16:25-17:25,CDR,Physical fitness assessment (on tread mill),
16:25-17:25,FE-4,"VELO Exercise, Day 3",
16:45-16:50,FE-6,Check multi-purpose bracket for Cosmo imagery,
17:00-17:20,FE-2,Evening Work Prep,
17:10-18:00,FE-6,(IFM) clean adapter for sampling,
17:15-18:00,FE-5,HMS – vision assessment,
17:20-17:35,FE-2,PE data downlink,
17:25-18:55,CDR,"VELO Exercise, Day 3",
17:25-18:55,FE-4,"БД-2 Exercise, Day 3",
17:30-18:00,FE-3,CFE- hardware stow in Ziploc bag,
17:35-18:50,FE-2,ARED Exercise,
18:00-18:05,FE-5,HMS – Vision questionnaire,
13:25-14:25,"FE-3, FE-5, FE-6",,LUNCH
13:45-15:15,CDR,,БРП-М No. 0911001 R&R Ops
13:45-14:25,FE-2,,Sound Level Data Downlink after taking acoustic measurements. Tagup with specialists (S-band)
14:25-15:25,FE-5,,CFE - Preparation and Hardware Setup
14:25-14:40,FE-3,,USND2 - Close-out Ops and Stowage
14:25-14:35,FE-4,,NAPOR-miniRSA. Photography after Dual Pointing Platform (ДПН) test / r/g 4266
14:25-14:35,FE-6,,Battery Stowage Assembly (BSA) Battery Recharge Terminate
14:35-15:15,FE-4,,СОЖ Maintenance
14:40-15:10,FE-6,,NANORACK-P Big Picture Overview
14:55-16:25,FE-2,,ARED Exercise
15:05-15:20,FE-3,,IMS and Stowage Conference
15:10-15:45,FE-6,,NANORACKS - Platform Removal
15:15-16:45,CDR,,"БД-2 Exercise, Day1"
15:20-16:20,FE-3,,IFM-A/L - Installation of Heater Jumper Part 1
15:25-17:25,FE-5,,CFE. Test Ops
15:30-16:25,FE-4,,URAGAN. Observation and Photography using Photo Spectral System (ФСС). Tagup with specialists as necessary (S-band)
15:45-16:50,FE-6,,Columbus Coolant Fluid Servicer (CCFS) Unit Installation on COL WPA2 and Commissioning
16:25-17:25,FE-2,,"БД-2 Exercise, Day 4"
16:35-17:25,FE-3,,IFM-A/L - Installation of Heater Jumper Part 2
16:45-17:45,CDR,,"VELO Exercise, Day 1"
16:50-17:50,FE-6,,T2 Exercise
16:55-17:25,FE-4,,Evening Work Prep
17:25-18:15,FE-2,,Download Pille Dosimeter Readings
17:25-17:40,FE-3,,Private Psychological Conference
17:25-18:55,FE-4,,"БД-2 Exercise, Day 1"
17:25-17:55,FE-5,,CFE - Hardware packing into Ziploc bags
17:40-19:10,FE-3,,ARED Exercise
17:45-18:25,CDR,,IDENTIFICATION. Copy ИМУ-Ц micro-accelerometer data to laptop
17:55-18:55,FE-5,,CEVIS Exercise
18:15-18:30,FE-6,,ANISO - Sample prep
18:15-18:40,FE-2,,Evening Work Prep
18:25-19:10,CDR,,Evening Work Prep
18:30-18:35,FE-6,,ANISO - MELFI Sample Insertion
18:35-19:10,FE-6,,Evening Work Prep
18:40-19:10,FE-2,,VZAIMODEISTVIYE. Experiment Ops
18:55-19:10,"FE-4, FE-5",,Evening Work Prep
19:30-21:30,"FE-2, FE-4",Pre-sleep,
19:35-21:30,CDR,Pre-sleep,
19:35-19:50,FE-6,Private Medical Conference,
19:50-20:50,FE-6,T2 Exercise,
19:50-21:30,"FE-3, FE-5",Pre-sleep,
20:50-21:25,FE-6,Pre-sleep,
21:25-21:30,FE-6,REACTION-SLF-TST_FE6,
21:30-06:00,,SLEEP,
Task List,CDR,ТКГ 421 Transfers and IMS Ops,
,,Preparation of reports for Roscosmos site,
Task List,"CDR, FE-2, FE-4",URAGAN Observations and Photography,
,,ECON-M. Observations And Photography,
Task List,FE-4,СОЖ Maintenance,
TIME,CREW,ACTIVITY,
,,Morning inspection. ПСС СМ c/o (after breakfast) Pre-EVA from DC1: Visual,
04:30-04:40,CDR,"inspection in DC1 of БВП СО circuit breakers position and БПП- 30, БПП-36",
,,fuses,
,,Morning Inspection.,
04:30-04:40,FE-4,"RSS1,2 reboot",
,,Laptop RS1(2) Reboot,
04:30-04:35,FE-6,REACTION - Self-reaction Test,
04:30-04:40,"FE-3,FE-5",,
04:30-04:45,FE-2,Morning Inspection,
04:35-04:40,FE-6,,
04:40-04:45,CDR,Pre-EVA Biochemical Urinalysis,
04:40-05:10,"FE-3,FE-4, FE-5,FE-6",Post-sleep,
04:45-05:10,CDR,,
04:45-04:50,FE-2,Pre-EVA Biochemical Urinalysis,
04:50-05:10,FE-2,Post-sleep,
,"CDR,FE-3,",,
05:10-06:00,"FE-4,FE-5,",,
,FE-6,Breakfast,
05:10-05:50,FE-2,,
05:50-06:00,FE-2,S/G2 loop connect in МRМ2,
06:00-06:25,.,DPC (S-band),
06:25-07:25,"CDR,FE-2",Prepare DC1 and ПхО for EVA,
06:25-06:55,FE-3,Prepare МRМ2  for EVA 37,
06:25-06:45,"FE-4,FE-6",Work Prep,
06:25-06:35,FE-5,HAM Radio deactivation,
06:55-07:15,FE-4,"On MCC Go Onboard System БС ""Электрон-ВМ"" post-deactivation purge",
06:55-07:00,FE-6,EVA – CUCU deactivation,
07:00-07:25,FE-6,MRF water filter ops,
07:10-07:25,FE-3,BIOME. Sample collection,
07:15-07:35,FE-4,Setup for TV-signal transmission during RS EVA 37 via Sony PMW-EX1R video camera,
07:25-08:00,"CDR,FE-2",Space Suit Systems Check,
07:25-07:30,FE-3,HRF - install samples into MELFI,
07:25-09:10,FE-6,ORU water dispenser R&R,
07:30-07:35,FE-3,BIOME. Sample stowing,
07:35-08:20,FE-3,BIOME. Body sample collection,
07:35-07:55,FE-4,СОЖ Maintenance,
07:45-08:00,FE-5,IFM: EDV assembly,
07:55-08:25,FE-4,"Removal of РО-ПрК hatch airduct and protective ring, closing РО-ПрК hatch",
08:00-08:25,CDR,Checking БСС in СО1,
08:00-08:25,FE-2,Checking БСС in ПхО,
08:20-08:25,FE-3,HRF - installing samples into MELFI,
08:25-09:00,"CDR,FE-2, FE-4",Lunch,
08:25-08:30,FE-3,BIOME - equipment stowing,
08:30-10:00,FE-3,Exercise  ARED,
09:00-09:15,CDR,БК-3М СО1 check,
09:00-09:15,FE-2,Pre-EVA comm. config. And ПСС reconfig.,
09:00-09:10,FE-4,Testing setup for TV-signal transmission during RS EVA 37 via Sony PMW-EX1R video camera,
09:00-09:10,FE-5,Closing USOS window shutters,
09:10-10:30,FE-4,ISS Onboard Systems - to Pre-EVA config.,
09:10-09:20,FE-6,COSMO- laptop install in NODE3,
09:15-09:55,"CDR,FE-2","Check via TLM - Space Suit Systems,  - БСС, comm. and medical parameters. Specialist Tag-up.",
09:20-09:45,FE-6,COSMO. HD video camera setup,
09:45-10:05,FE-6,COSMO -  camera prep,
09:55-10:15,"CDR,FE-2",Final inspection - Space Suit and БСС prior to donning.,
10:00-10:05,FE-3,SHD – completing weekly questionnaire,
10:05-10:35,FE-3,Connect SSC in MRM2  to use during isolation,
10:05-10:20,FE-6,"COSMO – camera settings, connect microscope",
10:15-10:45,"CDR,FE-2",Donning EVA equipment,
10:20-10:55,FE-6,Connect  JPL W3002 heater controller to Loop A,
10:30-10:45,FE-4,DC1 air ducts removal (w/o removing В3 Fan),
10:45-13:00,"CDR,FE-2",Airlocking pre-egress,
10:45-10:55,FE-3,On MCC Go Close МИМ2-СУ (SМ) hatch,
10:55-11:20,FE-3,Computer based OBT for CMO.,
10:55-11:05,FE-6,SLT activation,
11:00-12:30,FE-4,Airlocking pre-egress - assist,
11:20-11:50,FE-3,WinSCAT psychological assessment,
11:45-11:55,FE-6,WRS - cleaning MRF antibacterial filter.,
11:50-12:00,FE-3,NANORACK – payload materials review,
11:55-12:55,FE-6,T2 exercise,
12:00-12:45,FE-3,WHC: EDV ops,
12:45-20:30,FE-3,Soyz ТК 710 crew in МRМ2 during EVA-37,
13:00-20:00,"CDR,FE-2",EVA-37 Operations,
13:15-15:15,FE-4,БАР. Experiment Ops.,
14:40-15:40,FE-6,Lunch,
15:15-16:15,"FE-4,FE-5",Lunch,
15:40-15:55,FE-6,COSMO- camera position check,
16:15-16:25,FE-5,HMS - Defibrillator inspection,
16:25-16:30,FE-5,SHD - completing weekly questionnaire,
16:30-16:40,FE-6,Closeout ops:  water filtering through MRF filter into stowage tank,
16:55-17:05,FE-6,Food questionnaire,
17:05-17:10,FE-6,SHD - completing weekly questionnaire,
17:30-17:40,FE-6,"COSMO- deactivation, closeout ops",
17:40-17:50,FE-6,COSMO – closeout ops,
18:00-18:15,FE-6,COSMO -  temp stow,
18:15-19:45,FE-6,Exercise  ARED,
18:50-19:50,FE-5,Exercise  CEVIS,
19:45-20:05,FE-6,SPRINT-PPFS – hardware setup,
19:50-21:20,FE-5,Exercise  ARED,
20:00-21:00,"CDR,FE-2",Airlocking post-ingress,
20:00-21:00,FE-4,Airlocking post-ingress - assist,
20:05-20:15,FE-6,Close USOS window shutter,
20:30-20:40,FE-3,On MCC Go Open МИМ2-СУ (SМ) hatch,
20:30-20:40,FE-6,PPFS - activation,
20:40-21:00,FE-3,Reconfigure МRМ2 to initial state post EVA 37,
21:00-21:25,CDR,Post-EVA Reconfig of RS ISS to initial state,
21:00-21:10,FE-3,HRF – hardware set up,
21:00-21:15,FE-4,Air duct installation in DC1 and SМ post-EVA,
21:05-21:20,FE-2,Post-EVA reconfig. of comm.; reroute alarm system from ПОВ ПхО to ПСС,
21:20-21:25,FE-2,Deactivate S/G2 loop in МRМ2,
21:20-21:50,FE-3,Deactivate SSC in МRМ2 and transfer to nominal location,
21:20-21:25,FE-6,PPFS - deactivation,
21:25-21:30,CDR,Post-EVA biochemical urinalysis,
21:25-21:35,FE-2,Closeout ops with removed СКК post EVA-37,
21:25-21:55,FE-6,SPRINT-PPFS – partial stow,
21:30-22:00,"CDR,FE-4",LUNCH,
21:35-21:40,FE-2,Post-EVA biochemical urinalysis,
21:40-22:00,FE-2,LUNCH,
21:50-21:55,FE-3,IFM: EDV re-stow.,
21:55-22:10,"FE-3,FE-5, FE-6",DPC (S-band),
22:00-22:10,"CDR,FE-2",Post-EVA ORLAN maintenance,
,,On MCC Go Open РО-ПрК hatch (after opening КВД РО-ПрК via,
22:00-22:30,FE-4,command link and pressure equalization),
,,Install protective ring on РО-ПрК hatch and air duct,
22:10-23:30,CDR,,
,,Post EVA Reconfig. of RS ISS to initial state,
22:10-23:55,FE-2,,
22:10-22:25,FE-3,PPC,
22:10-23:00,"FE-5,FE-6",Evening work prep,
22:25-23:00,FE-3,Evening work prep,
TIME,CREW,,
06:00-06:10,"CDR, FE-2, FE-3, FE-5",Morning Inspection,
,,Morning Inspection.,
06:00-06:10,FE-4,"RSS1,2 Reboot / r/g 1009 step 1",
,,Laptop RS1(2) Reboot,
06:05-06:10,FE-6,Morning Inspection,
06:10-06:40,,Post-sleep,
06:40-07:30,CDR,BREAKFAST. SM ПСС (Caution & Warning Panel) Test (after breakfast),
,"FE-2, FE-3,",,
06:40-07:30,"FE-4, FE-5,",BREAKFAST,
,FE-6,,
07:30-10:30,"FE-3, FE-5, FE-6",Weekly Housekeeping,
,,Weekly Housekeeping,
,,"SM Ventilation Subsystem Preventive Maintenance, Group E",
07:30-09:30,CDR,FGB ЦВ2 Fan Cleaning,
,,Inspection of Air Conditioner,
,,Cleaning Auxiliary Computer System (ВКС) Laptops,
07:30-10:30,"FE-2, FE-4","Weekly Housekeeping / МО, Book 1, 1.2.1, p. 1-2Cleaning Auxiliary Computer System (ВКС) Laptops",
10:30-10:40,FE-6,MSPR. Deactivation of Laptop and Equipment,
10:30-10:35,FE-3,CGBA - Status Check and Monitor Cleaning,
10:35-12:05,FE-3,ARED Exercise,
11:05-11:20,FE-4,Private Psychological Conference (VHF),
11:20-12:50,FE-4,"БД-2 Exercise, Day 4",
12:00-13:00,CDR,"Weekly Housekeeping / МО, Book 1, 1.2.1, p. 1-2 Cleaning SM and FGB Potok-150MK Air Purification System Pre-filters",
12:05-13:05,FE-3,CEVIS Exercise,
12:10-13:40,FE-6,ARED Exercise,
12:40-12:55,FE-2,Private Psychological Conference (VHF),
12:50-13:30,FE-4,СОЖ Maintenance,
13:40-14:40,,LUNCH,
14:40-15:20,"CDR, FE-2, FE-4",Video Recording of Greetings for 95th Anniversary of RSC Energia,
14:40-14:50,FE-6,Food Frequency Questionnaire,
15:45-16:00,CDR,Private Psychological Conference (VHF),
15:55-16:10,FE-3,Private Family Conference,
16:00-17:00,FE-4,"VELO Exercise, Day 4",
16:20-17:50,FE-5,ARED Exercise,
17:00-18:00,CDR,"БД-2 Exercise, Day 4",
17:00-18:00,FE-2,"VELO Exercise, Day 3",
TIME,CREW,ACTIVITY,
06:00-06:10,CDR,Morning Inspection. SM ПСС (Caution & Warning Panel) Test,
06:00-06:05,FE-6,REMINDER - Crew Reminder,
06:00-06:10,"FE-2, FE-3, FE-5",Morning Inspection,
06:00-06:10,FE-4,"Morning Inspection.  RSS1,2 Reboot Laptop RS2(1) Reboot",
06:05-06:10,FE-6,Morning Inspection,
06:10-06:40,,Post-sleep,
,"CDR, FE-2,",,
06:40-07:25,"FE-3, FE-4,",BREAKFAST,
,FE-6,,
06:40-07:20,FE-5,BREAKFAST,
07:20-07:25,FE-5,Health Maintenance System (HMS) Ultrasound 2 - Hardware Power On,
07:25-07:45,,Daily Planning Conference (S-band),
07:45-08:50,"CDR, FE-2",NAPOR-miniRSA. Installation and Connection of Cable 17КС.42Ю 8242А-9260. Tagup with specialists (S-band),
08:00-08:30,FE-5,Work Prep,
08:00-08:10,FE-6,Work Prep,
08:00-08:25,FE-4,Work Prep,
08:00-08:10,FE-3,Set up video equipment to record ARED exercise,
08:10-08:20,"FE-3, FE-6",JAXA Commercial Mission Review,
08:20-08:30,FE-6,Ham Radio Deactivation,
08:20-08:30,FE-3,ARED - Marker Application,
08:20-09:25,FE-6,Cardiac Scan - Subject,
08:25-08:45,FE-4,Elektron-VM Liquid Unit Pressurization before Activation,
08:30-08:40,FE-3,IWIS - Data Gathering,
08:40-10:05,FE-3,ARED Exercise,
08:45-09:10,FE-5,Cardiac Scan - Operator,
,,On MCC Go NAPOR-miniRSA. Installation and connection of Onboard,
08:50-09:00,"CDR, FE-2",Measurement System (СБИ) cable (1 item) for Optical Telescope,
,,System [СОТ] T/L monitoring. Tagup with specialists (S-band),
09:00-09:10,"CDR, FE-2",NAPOR-miniRSA. Photography of Mated Connectors and Closeout Ops. Tagup with specialists (S-band),
09:10-09:30,"CDR, FE-2",Work Prep,
09:35-09:40,FE-4,Activation of Laptop RS1,
09:35-10:20,FE-6,JAXA Commercial Mission - G1 Camcorder and CM Payload Setup,
09:40-10:30,CDR,Progress 421 Unloading and IMS Ops,
09:40-12:10,FE-4,"КЦП1, RS1 Laptop, RS3 LAPTOP Upgrade to SW Version 08.07. Tagup with specialists (S-band)",
10:05-10:10,FE-3,Stow Video Equipment Used for ARED Exercise Video,
10:15-11:45,FE-2,"БД-2 Exercise, Day 2",
10:15-10:20,FE-5,Photo/TV Camcorder Setup Verification,
10:20-11:15,FE-5,T2 Exercise,
10:20-11:50,FE-6,ARED Exercise,
10:25-10:40,FE-3,Capillary Flow Experiment Preparation - Interior Corner Flow,
10:30-11:30,CDR,ABOUT GAGARIN FROM SPACE. HAM Radio Setting Adjustments. Tagup with specialists (S-band),
10:40-11:40,FE-3,Capillary Flow Experiments Hardware Setup - Interior Corner Flow,
11:15-11:20,FE-5,T2 Exercise Video Equipment Stow,
11:30-11:40,FE-5,Food Frequency Questionnaire,
11:35-11:45,CDR,ALBEDO. Battery Charge (start),
11:40-11:50,FE-5,Ultrasound - Scanning Prep,
11:45-12:45,CDR,Progress 421 Transfers  and IMS Ops,
11:45-12:45,FE-3,CEVIS Exercise,
11:45-12:45,FE-2,RSE1 Laptop Software Upgrade (v.4.0). Tagup with specialists (S-band),
11:50-12:30,FE-5,Ultrasound Scan - Subject,
11:50-12:30,FE-6,Ultrasound Scan - Operator,
12:10-13:05,FE-4,"VELO Exercise, Day3",
12:30-12:40,FE-6,Ultrasound - Data Downlink,
12:35-12:40,FE-5,SHD - Weekly Questionnaire,
12:40-13:40,"FE-5, FE-6",LUNCH,
12:45-13:00,"CDR, FE-2",IMS Tagup (S-band),
12:45-12:55,FE-3,HAM Radio Power Up,
12:55-13:55,FE-3,LUNCH,
13:00-14:00,"CDR, FE-2",LUNCH,
13:05-14:00,FE-4,LUNCH,
13:40-14:20,FE-5,Ultrasound Scan - Operator,
13:40-14:20,FE-6,Ultrasound Scan - Subject,
13:55-15:10,FE-3,Operations Part 8 Capillary Flow Experiment - Interior Corner Flow,
14:00-16:30,FE-4,"КЦП1, RS1 Laptop, RS3 LAPTOP Upgrade to SW Version 08.07. Tagup with specialists (S-band)",
14:00-16:30,FE-2,КОБ2 Loop Monitoring. Tagup with specialists (S-band) / r/g 4220,
14:15-15:15,CDR,"ALBEDO. Photo Spectral System (ФСС) Prep, Imagery, Closeout Ops",
14:20-14:30,FE-5,Ultrasound - Data Downlink,
14:20-14:25,FE-6,Space Headaches - Weekly Questionnaire,
14:25-14:50,FE-6,Crew Medical Officer (CMO) proficiency training,
14:30-14:35,FE-5,Ultrasound - Closeout Ops,
14:40-14:50,FE-5,FMK Deployment Ops,
14:50-15:10,FE-5,Grab Sample Container (GSC) Sampling Operations,
15:00-15:10,FE-6,JAXA Commercial Mission Component Activation,
14:10-14:15,FE-4,Deactivation of RS2 Laptop,
14:10-14:35,FE-6,Crew Medical Officer (CMO) proficiency training,
14:15-14:30,FE-4,RS1 Laptop-КЦП1-ЦВМ-ТВМ Command & Data Test. Tagup with specialists (S-band),
14:20-14:35,FE-5,Journal Entry,
14:40-16:20,,ISS Emergency Response OBT. Tagup with specialists (S-band),
16:20-16:30,,OBT ISS Emergency Response Debrief,
16:30-17:50,CDR,"БД-2 Exercise, Day 1",
16:30-17:30,FE-2,,
,,Life On The Station Photo and Video,
16:30-17:10,FE-4,,
16:30-17:20,FE-3,53P Unpack Ops,
16:30-17:30,FE-5,T2 Exercise,
16:30-17:50,FE-6,ARED Exercise,
17:10-17:30,FE-4,Downlink of OBT Photos,
17:20-17:50,FE-3,CO2 and Remaining water Purge from Sabatier,
17:30-17:50,"FE-2, FE-4",Evening Work Prep,
17:30-17:45,FE-5,Private Medical Conference,
17:50-18:05,,Emergency response training conference (S-band),
18:05-19:05,FE-2,ARED Exercise,
18:05-18:40,FE-3,Evening Work Prep,
18:05-19:05,FE-4,"VELO Exercise, Day1",
18:15-18:25,FE-6,Evening Work Prep,
18:15-19:05,CDR,Evening Work Prep,
18:20-19:05,FE-5,Evening Work Prep,
18:25-18:40,FE-6,Private Medical Conference,
18:40-18:55,FE-3,Private Medical Conference,
18:40-19:05,FE-6,Evening Work Prep,
18:55-19:05,FE-3,Evening Work Prep,
19:05-19:15,,Pre-sleep,
19:15-19:40,,Daily Planning Conference (S-band),
,"CDR, FE-2,",,
19:40-21:30,"FE-3, FE-4,",Pre-sleep,
,FE-5,,
19:40-21:15,FE-6,Pre-sleep,
21:15-21:20,FE-6,REMINDER Experiment Procedure Review,
21:20-21:25,FE-6,Reading REMINDER,
21:25-21:30,FE-6,Reaction Self Test,
21:30-06:00,,SLEEP,
,CDR,ТКГ 421 Transfers and IMS Ops,
Task List,"CDR, FE-2,",URAGAN Observations and Photography,
,FE-4,ECON-M. Observations and Photography,
,Preparation of reports for Roscosmos site,,
FE-4,IMS Update,,
